"Power" "SFT.R.sq" "slope" "truncated.R.sq" "mean.k." "median.k." "max.k."
"1" 1 "0.37523336" 2.98562080510309 0.89442999316745 5145.87704177029 5197.7798409789 7230.31554903073
"2" 2 "0.06041600" 0.544367551731328 0.887017098372347 1864.37754628542 1856.95426143066 3390.46633250236
"3" 3 "0.09360664" -0.581329987816491 0.902081455725804 831.363556610507 801.630798437633 1957.76809732187
"4" 4 "0.36491370" -1.25238445042543 0.917972412840402 422.673733255351 388.686651572116 1247.56955414564
"5" 5 "0.52984926" -1.62052127870927 0.926406684679611 235.717793646397 203.865549870374 846.350065377826
"6" 6 "0.62338055" -1.78401886338001 0.925542670878036 140.936763330733 113.716393827995 599.921855853078
"7" 7 "0.75949049" -1.72013755363536 0.975552642719036 89.0112563834854 66.5189701416814 439.086513588236
"8" 8 "0.84203114" -1.74492522725277 0.997217465455005 58.7731320055677 40.3141874988165 339.062095799079
"9" 9 "0.86976875" -1.88541025606467 0.997822583409739 40.2694682610101 25.2629577403115 283.582420200664
"10" 10 "0.89414872" -1.96717612107083 0.997305768311639 28.4701695559417 16.2194050694494 243.02540638876
"11" 12 "0.92349651" -2.01369603889013 0.988577188235351 15.3774789394291 7.19174597884942 187.605962973393
"12" 14 "0.94549494" -1.99206581745465 0.987846649641679 9.02860858523833 3.42246636725543 151.775265956855
"13" 16 "0.95979198" -1.92843986650651 0.984670769163591 5.66464779366221 1.72931521465649 126.93260480613
"14" 18 "0.96507976" -1.88104427250494 0.977476299528627 3.75186101088761 0.918078207001418 108.788852862284
"15" 20 "0.97549054" -1.81618208865137 0.984279935485518 2.59948786214308 0.511595516156364 94.9951250510125
