"Power" "SFT.R.sq" "slope" "truncated.R.sq" "mean.k." "median.k." "max.k."
"1" 1 "0.1242553" 1.00714386943398 0.956492303647519 5262.96082884865 5087.98584465129 8941.71915972158
"2" 2 "0.2471647" -0.777715419693265 0.937156211396228 1893.45531894386 1689.08331357427 4905.53519448403
"3" 3 "0.7175084" -1.42037534090926 0.979752875403252 842.538831215931 672.556714611009 3097.63223358044
"4" 4 "0.8384221" -1.67380317084623 0.984934214226783 428.682136835319 300.269555480172 2126.93818213286
"5" 5 "0.8788837" -1.75633920888791 0.986542824784433 239.633650542664 145.627412098851 1545.67541026988
"6" 6 "0.8940278" -1.80883298135923 0.986165560829769 143.727610102669 75.6221363795734 1170.06225097361
"7" 7 "0.9011282" -1.82916600424874 0.983993776655725 91.0793942921722 41.2068246785307 913.872422377342
"8" 8 "0.9109720" -1.82644831911099 0.987046953613667 60.3324138897789 23.4758132707517 731.71669338864
"9" 9 "0.9115695" -1.82500569895406 0.984553833320474 41.4540733853852 13.8110544426923 597.829435594736
"10" 10 "0.9197487" -1.81178624335946 0.990278670239529 29.372415995989 8.39910894781855 496.707846933195
"11" 12 "0.9311833" -1.77264786205774 0.992089756310686 15.8976555677328 3.32334425553295 357.040287666769
"12" 14 "0.9270884" -1.75589835679874 0.993078879095809 9.31873582922287 1.43525400711936 267.725565723197
"13" 16 "0.9311329" -1.72262990278588 0.993285019456865 5.81335146868974 0.660863253687904 207.39030907719
"14" 18 "0.9303490" -1.70650686867253 0.992729157349684 3.81250189239446 0.322630139436664 164.857047291903
"15" 20 "0.9316022" -1.67873231785138 0.991724677999105 2.6050073368198 0.162788099485976 133.833490624548
