"Power" "SFT.R.sq" "slope" "truncated.R.sq" "mean.k." "median.k." "max.k."
"1" 1 "0.0137610" 23.795074171873 0.983619044574166 11198.5174700176 11200.0622030482 11365.9862831719
"2" 2 "0.2447124" -10.1694539469806 0.783995783188876 6076.8812997536 6027.2290490828 6875.23919708592
"3" 3 "0.3319314" -4.71320300776841 0.8172343592169 3517.0343899332 3439.38268504269 4699.15351959187
"4" 4 "0.4507523" -3.26717745730007 0.879681470473944 2146.04819879701 2059.77389190017 3442.64082360453
"5" 5 "0.5536252" -2.64355166669845 0.924226805222124 1368.91491461443 1283.8887047925 2643.48175374613
"6" 6 "0.6479940" -2.36804851294425 0.956201413018298 906.854024204639 827.958241187725 2099.52981520125
"7" 7 "0.7297376" -2.24028456265156 0.977120807239118 620.655839626717 547.336362366728 1710.48572808806
"8" 8 "0.7881638" -2.17850829534769 0.987653399286886 436.984475747227 370.982099108011 1421.6767101296
"9" 9 "0.8322421" -2.14821920752199 0.99386226676008 315.392386492268 256.519858886903 1201.12365132731
"10" 10 "0.8581665" -2.12301300548838 0.995655647396834 232.66161648218 180.378603465523 1028.37829889347
"11" 12 "0.8842725" -2.08825995096441 0.993663571819376 133.897806967025 93.1506080740789 778.610211003995
"12" 14 "0.9057623" -2.04572744130562 0.995562766085148 81.9869826486203 50.5321649947864 610.191785486261
"13" 16 "0.9210641" -2.01550662787754 0.997420491249646 52.7934636828312 28.5521457029647 491.169922503393
"14" 18 "0.9270154" -1.98327850154982 0.996328525439616 35.4386959370212 16.6598268949969 403.962837889226
"15" 20 "0.9278707" -1.97045104641952 0.994038856501092 24.6335531316609 10.0425022702805 338.17178588812
"16" 22 "0.9304981" -1.94549598441375 0.99447100281872 17.6384090151247 6.24880051712079 287.320119713192
"17" 24 "0.9339457" -1.91693822410922 0.994389903278579 12.956156017694 3.95760646921794 247.20264690005
"18" 26 "0.9421146" -1.87503144461161 0.995430247044425 9.73035830815311 2.56561263744134 214.993454878729
"19" 28 "0.9472886" -1.84268928296542 0.997316673132389 7.45133304121895 1.68594417084932 188.737500870372
"20" 30 "0.9440553" -1.82859740286232 0.996091274691744 5.80513210989935 1.13098115162049 167.047983783107
