og_id	Acom	Tfas	Tlei	logratio	corr_logratio
OG0000018	0	72	1	4.27666611901606	4.25634107904675
OG0000024	0	64	1	4.15888308335967	4.13855804339037
OG0005340	1	54	1	3.98898404656427	3.96865900659497
OG0000033	0	47	1	3.85014760171006	3.82982256174076
OG0016275	0	42	1	3.73766961828337	3.71734457831407
OG0000021	0	81	2	3.70130197411249	3.68097693414319
OG0000084	0	32	1	3.46573590279973	3.44541086283042
OG0000053	0	57	2	3.3499040872746	3.3295790473053
OG0000517	1	28	1	3.3322045101752	3.3118794702059
OG0000048	0	49	2	3.19867311755068	3.17834807758138
OG0000219	0	23	1	3.13549421592915	3.11516917595985
OG0001047	3	22	1	3.09104245335832	3.07071741338901
OG0000085	0	43	2	3.06805293513362	3.04772789516431
OG0000468	0	21	1	3.04452243772342	3.02419739775412
OG0000050	0	41	2	3.02042488614436	3.00009984617506
OG0000153	1	17	1	2.83321334405622	2.81288830408691
OG0000393	0	16	1	2.77258872223978	2.75226368227048
OG0000058	0	30	2	2.70805020110221	2.68772516113291
OG0000094	2	30	2	2.70805020110221	2.68772516113291
OG0000182	0	15	1	2.70805020110221	2.68772516113291
OG0000469	0	15	1	2.70805020110221	2.68772516113291
OG0000042	0	56	4	2.63905732961526	2.61873228964596
OG0000071	0	28	2	2.63905732961526	2.61873228964596
OG0000463	0	14	1	2.63905732961526	2.61873228964596
OG0000167	0	13	1	2.56494935746154	2.54462431749223
OG0001204	0	13	1	2.56494935746154	2.54462431749223
OG0001704	1	13	1	2.56494935746154	2.54462431749223
OG0000141	0	24	2	2.484906649788	2.4645816098187
OG0000306	0	12	1	2.484906649788	2.4645816098187
OG0000525	1	12	1	2.484906649788	2.4645816098187
OG0000346	0	11	1	2.39789527279837	2.37757023282907
OG0000204	0	10	1	2.30258509299405	2.28226005302474
OG0000280	0	10	1	2.30258509299405	2.28226005302474
OG0000388	0	10	1	2.30258509299405	2.28226005302474
OG0000038	0	45	5	2.19722457733622	2.17689953736692
OG0001739	2	9	1	2.19722457733622	2.17689953736692
OG0001199	0	8	1	2.07944154167984	2.05911650171053
OG0004446	1	8	1	2.07944154167984	2.05911650171053
OG0005451	0	8	1	2.07944154167984	2.05911650171053
OG0000079	0	23	3	2.03688192726104	2.01655688729174
OG0000531	2	15	2	2.01490302054226	1.99457798057296
OG0000342	1	7	1	1.94591014905531	1.92558510908601
OG0000386	0	7	1	1.94591014905531	1.92558510908601
OG0000392	0	7	1	1.94591014905531	1.92558510908601
OG0000467	0	7	1	1.94591014905531	1.92558510908601
OG0000555	0	7	1	1.94591014905531	1.92558510908601
OG0000681	0	7	1	1.94591014905531	1.92558510908601
OG0001795	0	7	1	1.94591014905531	1.92558510908601
OG0001828	0	7	1	1.94591014905531	1.92558510908601
OG0005157	1	7	1	1.94591014905531	1.92558510908601
OG0005474	0	7	1	1.94591014905531	1.92558510908601
OG0005582	0	7	1	1.94591014905531	1.92558510908601
OG0016420	0	7	1	1.94591014905531	1.92558510908601
