Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009793	embryo development ending in seed dormancy	0.0038	OG0013618, OG0012759, OG0008704, OG0008702, OG0018434, OG0006126, OG0003960, OG0015208, OG0010999, OG0010820, OG0010806, OG0010771, OG0010746, OG0013092, OG0013075, OG0005261, OG0006071, OG0007930, OG0014669, OG0001604, OG0005548, OG0002325, OG0007751, OG0011462, OG0008962, OG0016276, OG0010021, OG0001980, OG0001956, OG0014160, OG0004018, OG0009234, OG0014799, OG0004251, OG0002510	Tfasc_v1.03149, Tfasc_v1.04039, Tfasc_v1.04769, Tfasc_v1.04770, Tfasc_v1.05055, Tfasc_v1.06405, Tfasc_v1.07836, Tfasc_v1.07839, Tfasc_v1.08426, Tfasc_v1.10792, Tfasc_v1.11820, Tfasc_v1.11850, Tfasc_v1.11913, Tfasc_v1.11966, Tfasc_v1.13037, Tfasc_v1.13058, Tfasc_v1.13320, Tfasc_v1.14515, Tfasc_v1.14913, Tfasc_v1.15451, Tfasc_v1.16907, Tfasc_v1.16908, Tfasc_v1.16910, Tfasc_v1.19479, Tfasc_v1.20249, Tfasc_v1.23160, Tfasc_v1.24360, Tfasc_v1.26392, Tfasc_v1.26644, Tfasc_v1.27387, Tfasc_v1.27391, Tfasc_v1.27483, Tfasc_v1.28063, Tfasc_v1.28218, Tfasc_v1.28773, Tfasc_v1.29366, Tfasc_v1.29501, Tfasc_v1.30406, Tfasc_v1.30517
BP	GO:0009451	RNA modification	0.00438	OG0015276, OG0003062, OG0006473, OG0006597, OG0001954, OG0012616, OG0004087, OG0015604, OG0013660, OG0013655, OG0013653, OG0009871, OG0014320, OG0000997, OG0003515, OG0008691, OG0008693, OG0008729, OG0001419, OG0005963, OG0006089, OG0015554, OG0012363, OG0012378, OG0012847, OG0001759, OG0014524, OG0015232, OG0010412, OG0003960, OG0003859, OG0018943, OG0004363, OG0007118, OG0018983, OG0007158, OG0007162, OG0003227, OG0007249, OG0008363, OG0010894, OG0010867, OG0010852, OG0010820, OG0013988, OG0011795, OG0012862, OG0001754, OG0015618, OG0005790, OG0005787, OG0005764, OG0005755, OG0007927, OG0002075, OG0005237, OG0012154, OG0011419, OG0005116, OG0010192, OG0003998, OG0014568, OG0014573, OG0014005, OG0005166, OG0015189, OG0000018, OG0014207, OG0011180, OG0007624, OG0007683, OG0007720, OG0002041, OG0007802, OG0007833, OG0007892, OG0007894, OG0016241, OG0012706, OG0004362, OG0012236, OG0012803, OG0007584, OG0007402, OG0007387, OG0011592, OG0015504, OG0011488, OG0004381, OG0008790, OG0008911, OG0018114, OG0008946, OG0013814, OG0005140, OG0002478, OG0009635, OG0002181, OG0009569, OG0009545, OG0014446, OG0006900, OG0006713, OG0010528, OG0009223, OG0014823, OG0014841, OG0009370, OG0009376, OG0018901, OG0013454, OG0005433	Tfasc_v1.00084, Tfasc_v1.01122, Tfasc_v1.01199, Tfasc_v1.01441, Tfasc_v1.01628, Tfasc_v1.01907, Tfasc_v1.02320, Tfasc_v1.02656, Tfasc_v1.03279, Tfasc_v1.03281, Tfasc_v1.03291, Tfasc_v1.03485, Tfasc_v1.04243, Tfasc_v1.04288, Tfasc_v1.04405, Tfasc_v1.04585, Tfasc_v1.04748, Tfasc_v1.04761, Tfasc_v1.04817, Tfasc_v1.05060, Tfasc_v1.06130, Tfasc_v1.06429, Tfasc_v1.06513, Tfasc_v1.06773, Tfasc_v1.06798, Tfasc_v1.06868, Tfasc_v1.07105, Tfasc_v1.07106, Tfasc_v1.07214, Tfasc_v1.07348, Tfasc_v1.07742, Tfasc_v1.07836, Tfasc_v1.07839, Tfasc_v1.07975, Tfasc_v1.08242, Tfasc_v1.08243, Tfasc_v1.08251, Tfasc_v1.08843, Tfasc_v1.08861, Tfasc_v1.08900, Tfasc_v1.08919, Tfasc_v1.08947, Tfasc_v1.09095, Tfasc_v1.09415, Tfasc_v1.09666, Tfasc_v1.10987, Tfasc_v1.11032, Tfasc_v1.11066, Tfasc_v1.11820, Tfasc_v1.12288, Tfasc_v1.12430, Tfasc_v1.12568, Tfasc_v1.13176, Tfasc_v1.13551, Tfasc_v1.14003, Tfasc_v1.14004, Tfasc_v1.14065, Tfasc_v1.14083, Tfasc_v1.14908, Tfasc_v1.15553, Tfasc_v1.15745, Tfasc_v1.15936, Tfasc_v1.16445, Tfasc_v1.17257, Tfasc_v1.17381, Tfasc_v1.17594, Tfasc_v1.18344, Tfasc_v1.18654, Tfasc_v1.18670, Tfasc_v1.18820, Tfasc_v1.19031, Tfasc_v1.19054, Tfasc_v1.19057, Tfasc_v1.19218, Tfasc_v1.19416, Tfasc_v1.19883, Tfasc_v1.20078, Tfasc_v1.20151, Tfasc_v1.20224, Tfasc_v1.20225, Tfasc_v1.20329, Tfasc_v1.20410, Tfasc_v1.20508, Tfasc_v1.20520, Tfasc_v1.20600, Tfasc_v1.20601, Tfasc_v1.20988, Tfasc_v1.21291, Tfasc_v1.21917, Tfasc_v1.22132, Tfasc_v1.22526, Tfasc_v1.22567, Tfasc_v1.22900, Tfasc_v1.22915, Tfasc_v1.23109, Tfasc_v1.23221, Tfasc_v1.24036, Tfasc_v1.24269, Tfasc_v1.24274, Tfasc_v1.24329, Tfasc_v1.24575, Tfasc_v1.24577, Tfasc_v1.24830, Tfasc_v1.24960, Tfasc_v1.25017, Tfasc_v1.25081, Tfasc_v1.25136, Tfasc_v1.27058, Tfasc_v1.27679, Tfasc_v1.28010, Tfasc_v1.28751, Tfasc_v1.29402, Tfasc_v1.29540, Tfasc_v1.29613, Tfasc_v1.30104, Tfasc_v1.30105, Tfasc_v1.30466, Tfasc_v1.30542, Tfasc_v1.30719
BP	GO:0010258	NADH dehydrogenase complex (plastoquinone) assembly	0.00441	OG0003532, OG0004352, OG0009626	Tfasc_v1.04351, Tfasc_v1.04352, Tfasc_v1.12468, Tfasc_v1.24937
BP	GO:0001732	formation of cytoplasmic translation initiation complex	0.0055	OG0008186, OG0009037, OG0014007, OG0003364, OG0009607, OG0001968, OG0014799, OG0013439	Tfasc_v1.09773, Tfasc_v1.16483, Tfasc_v1.18830, Tfasc_v1.20298, Tfasc_v1.24984, Tfasc_v1.27786, Tfasc_v1.29501, Tfasc_v1.30579
BP	GO:0030187	melatonin biosynthetic process	0.00575	OG0002354, OG0014152	Tfasc_v1.26057, Tfasc_v1.26059, Tfasc_v1.28194
BP	GO:0052544	defense response by callose deposition in cell wall	0.00575	OG0011666, OG0014115, OG0015710	Tfasc_v1.00261, Tfasc_v1.09833, Tfasc_v1.26891
BP	GO:0006430	lysyl-tRNA aminoacylation	0.00575	OG0014660, OG0002518, OG0017847	Tfasc_v1.15501, Tfasc_v1.30485, Tfasc_v1.30486
BP	GO:1901672	positive regulation of systemic acquired resistance	0.00575	OG0003031, OG0012824, OG0010414	Tfasc_v1.05814, Tfasc_v1.06923, Tfasc_v1.07723
BP	GO:0006177	GMP biosynthetic process	0.00575	OG0009913, OG0010765, OG0013229	Tfasc_v1.03389, Tfasc_v1.11935, Tfasc_v1.13510
BP	GO:0071492	cellular response to UV-A	0.00575	OG0003016, OG0005734	Tfasc_v1.05902, Tfasc_v1.05905, Tfasc_v1.13909
BP	GO:0071486	cellular response to high light intensity	0.00575	OG0003016, OG0005734	Tfasc_v1.05902, Tfasc_v1.05905, Tfasc_v1.13909
BP	GO:0006223	uracil salvage	0.00575	OG0000826	Tfasc_v1.29548, Tfasc_v1.29555, Tfasc_v1.29567
BP	GO:0006782	protoporphyrinogen IX biosynthetic process	0.00638	OG0003970, OG0005751, OG0005700, OG0002220, OG0006825	Tfasc_v1.07740, Tfasc_v1.14093, Tfasc_v1.22094, Tfasc_v1.26827, Tfasc_v1.27812
BP	GO:0001522	pseudouridine synthesis	0.00663	OG0006473, OG0012616, OG0005963, OG0012378, OG0015232, OG0005790, OG0015189, OG0000018, OG0007387, OG0009545, OG0014446	Tfasc_v1.01199, Tfasc_v1.01907, Tfasc_v1.06130, Tfasc_v1.06798, Tfasc_v1.07348, Tfasc_v1.14003, Tfasc_v1.19054, Tfasc_v1.19057, Tfasc_v1.22567, Tfasc_v1.25136, Tfasc_v1.27058
BP	GO:0000027	ribosomal large subunit assembly	0.00668	OG0008395, OG0004337, OG0003427, OG0011869, OG0006950	Tfasc_v1.09366, Tfasc_v1.12357, Tfasc_v1.15239, Tfasc_v1.15245, Tfasc_v1.18546, Tfasc_v1.27539
BP	GO:0030433	ubiquitin-dependent ERAD pathway	0.00743	OG0013782, OG0000429, OG0014264, OG0015193, OG0001167, OG0001376, OG0016398, OG0005724, OG0009745, OG0014577, OG0002661, OG0014914, OG0010025	Tfasc_v1.01718, Tfasc_v1.03383, Tfasc_v1.07317, Tfasc_v1.07365, Tfasc_v1.07366, Tfasc_v1.07367, Tfasc_v1.11052, Tfasc_v1.11283, Tfasc_v1.13848, Tfasc_v1.16242, Tfasc_v1.18697, Tfasc_v1.20946, Tfasc_v1.25568, Tfasc_v1.26655, Tfasc_v1.28831
BP	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	0.00836	OG0011088, OG0001104, OG0005749, OG0008070, OG0008132, OG0014279	Tfasc_v1.08038, Tfasc_v1.13012, Tfasc_v1.13017, Tfasc_v1.14100, Tfasc_v1.15153, Tfasc_v1.15289, Tfasc_v1.17066, Tfasc_v1.29202
BP	GO:0042026	protein refolding	0.00918	OG0000429, OG0002296, OG0000424, OG0015256, OG0005954, OG0002669, OG0012043, OG0000209	Tfasc_v1.03383, Tfasc_v1.07538, Tfasc_v1.07820, Tfasc_v1.10981, Tfasc_v1.13339, Tfasc_v1.14326, Tfasc_v1.15731, Tfasc_v1.15735, Tfasc_v1.18519, Tfasc_v1.21585, Tfasc_v1.28831, Tfasc_v1.29607
