"og_id"	"Acom"	"Tfas"	"Tlei"
"4008"	"OG0004511"	1	2	1
"4015"	"OG0004518"	1	2	1
"4052"	"OG0004558"	1	2	1
"4072"	"OG0004579"	1	2	1
"4103"	"OG0004611"	1	2	1
"4117"	"OG0004627"	1	2	1
"4119"	"OG0004629"	1	2	1
"4128"	"OG0004640"	1	2	1
"4133"	"OG0004645"	1	2	1
"4139"	"OG0004651"	1	2	1
"4142"	"OG0004654"	1	2	1
"4159"	"OG0004672"	1	3	1
"4163"	"OG0004676"	1	2	1
"4164"	"OG0004677"	1	2	1
"4169"	"OG0004682"	1	2	1
"4174"	"OG0004687"	1	2	1
"4191"	"OG0004705"	1	2	1
"4195"	"OG0004709"	1	2	1
"4198"	"OG0004712"	1	2	1
"4199"	"OG0004713"	1	2	1
"4215"	"OG0004730"	1	2	1
"4236"	"OG0004754"	1	3	1
"4237"	"OG0004755"	1	2	1
"4252"	"OG0004771"	1	2	1
"4253"	"OG0004772"	1	2	1
"4256"	"OG0004775"	1	2	1
"4262"	"OG0004781"	1	2	1
"4281"	"OG0004801"	1	5	1
"4282"	"OG0004802"	1	3	1
"4284"	"OG0004804"	1	2	1
"4288"	"OG0004808"	1	2	1
"4289"	"OG0004809"	1	2	1
"4294"	"OG0004816"	1	2	1
"4300"	"OG0004823"	1	2	1
"4304"	"OG0004827"	1	2	1
"4307"	"OG0004830"	1	2	1
"4308"	"OG0004831"	1	2	1
"4311"	"OG0004834"	1	2	1
"4332"	"OG0004860"	1	2	1
"4356"	"OG0004886"	1	2	1
"4367"	"OG0004897"	1	2	1
"4372"	"OG0004902"	1	2	1
"4388"	"OG0004921"	1	2	1
"4400"	"OG0004934"	1	2	1
"4403"	"OG0004937"	1	2	1
"4404"	"OG0004938"	1	2	1
"4414"	"OG0004949"	1	2	1
"4425"	"OG0004961"	1	2	1
"4428"	"OG0004964"	1	2	1
"4431"	"OG0004967"	1	2	1
"4433"	"OG0004969"	1	2	1
"4436"	"OG0004972"	1	2	1
"4439"	"OG0004975"	1	2	1
"4449"	"OG0004986"	1	2	1
"4450"	"OG0004987"	1	2	1
"4453"	"OG0004990"	1	2	1
"4459"	"OG0004998"	1	2	1
"4460"	"OG0004999"	1	2	1
"4482"	"OG0005022"	1	2	1
"4489"	"OG0005029"	1	2	1
"4494"	"OG0005035"	1	2	1
"4500"	"OG0005043"	1	2	1
"4501"	"OG0005044"	1	2	1
"4502"	"OG0005045"	1	3	1
"4510"	"OG0005053"	1	2	1
"4518"	"OG0005061"	1	2	1
"4537"	"OG0005087"	1	2	1
"4543"	"OG0005093"	1	2	1
"4544"	"OG0005094"	1	2	1
"4546"	"OG0005096"	1	2	1
"4550"	"OG0005100"	1	2	1
"4555"	"OG0005106"	1	2	1
"4570"	"OG0005122"	1	2	1
"4574"	"OG0005126"	1	2	1
"4581"	"OG0005133"	1	2	1
"4596"	"OG0005149"	1	2	1
"4604"	"OG0005157"	1	7	1
"4608"	"OG0005161"	1	3	1
"4611"	"OG0005165"	1	2	1
"4618"	"OG0005172"	1	2	1
"4621"	"OG0005175"	1	3	1
"4623"	"OG0005177"	1	2	1
"4624"	"OG0005178"	1	2	1
"4625"	"OG0005179"	1	2	1
"4628"	"OG0005182"	1	2	1
"4629"	"OG0005183"	1	2	1
"4631"	"OG0005185"	1	2	1
"4635"	"OG0005189"	1	2	1
"4645"	"OG0005200"	1	3	1
"4659"	"OG0005215"	1	2	1
"4664"	"OG0005220"	1	5	1
"4667"	"OG0005223"	1	3	1
"4676"	"OG0005233"	1	2	1
"4684"	"OG0005242"	1	2	1
"4687"	"OG0005245"	1	2	1
"4715"	"OG0005274"	1	2	1
"4719"	"OG0005278"	1	2	1
"4720"	"OG0005279"	1	2	1
"4722"	"OG0005281"	1	2	1
"4731"	"OG0005290"	1	2	1
"4760"	"OG0005322"	1	2	1
"4761"	"OG0005323"	1	2	1
"4764"	"OG0005326"	1	2	1
"4770"	"OG0005332"	1	2	1
"4778"	"OG0005340"	1	54	1
"4787"	"OG0005349"	1	2	1
"4792"	"OG0005354"	1	2	1
"4794"	"OG0005356"	1	2	1
"4795"	"OG0005357"	1	2	1
"4802"	"OG0005364"	1	2	1
"4807"	"OG0005369"	1	2	1
"4808"	"OG0005370"	1	2	1
"4810"	"OG0005373"	1	4	1
"4812"	"OG0005375"	1	2	1
"4813"	"OG0005376"	1	2	1
"4818"	"OG0005381"	1	2	1
"4826"	"OG0005389"	1	2	1
"4827"	"OG0005390"	1	2	1
"4828"	"OG0005391"	1	3	1
"4833"	"OG0005396"	1	2	1
"4835"	"OG0005398"	1	2	1
"4836"	"OG0005399"	1	2	1
"4838"	"OG0005401"	1	2	1
"4840"	"OG0005403"	1	2	1
"4848"	"OG0005411"	1	2	1
"4857"	"OG0005421"	1	2	1
"4862"	"OG0005426"	1	2	1
"4864"	"OG0005428"	1	2	1
"4866"	"OG0005430"	1	2	1
"4870"	"OG0005434"	1	2	1
"4883"	"OG0005447"	0	2	1
"4885"	"OG0005449"	0	2	1
"4887"	"OG0005451"	0	8	1
"4888"	"OG0005452"	0	6	1
"4899"	"OG0005464"	0	2	1
"4906"	"OG0005471"	0	2	1
"4909"	"OG0005474"	0	7	1
"4910"	"OG0005475"	0	3	1
"4911"	"OG0005476"	0	4	1
"4912"	"OG0005477"	0	2	1
"4913"	"OG0005479"	0	2	1
"4917"	"OG0005483"	0	3	1
"4918"	"OG0005484"	0	3	1
"4920"	"OG0005486"	0	2	1
"4921"	"OG0005487"	0	3	1
"4928"	"OG0005494"	0	2	1
"4930"	"OG0005496"	0	3	2
"4933"	"OG0005499"	0	2	1
"4937"	"OG0005503"	0	2	1
"4939"	"OG0005505"	0	2	1
"4942"	"OG0005508"	0	3	1
"4944"	"OG0005510"	0	3	1
"4947"	"OG0005513"	0	2	1
"4948"	"OG0005514"	0	3	1
"4951"	"OG0005517"	0	2	1
"4952"	"OG0005518"	0	2	1
"4953"	"OG0005519"	0	3	1
"4956"	"OG0005522"	0	3	1
"4957"	"OG0005523"	0	2	1
"4958"	"OG0005524"	0	2	1
"4960"	"OG0005526"	0	3	1
"4961"	"OG0005527"	0	2	1
"4964"	"OG0005530"	0	2	1
"4970"	"OG0005536"	0	2	1
"4973"	"OG0005539"	0	3	1
"4974"	"OG0005540"	0	2	1
"4975"	"OG0005541"	0	3	1
"4984"	"OG0005552"	0	4	1
"4987"	"OG0005555"	0	3	1
"4988"	"OG0005556"	0	2	1
"4993"	"OG0005561"	0	3	1
"5002"	"OG0005570"	0	2	1
"5005"	"OG0005573"	0	2	1
"5006"	"OG0005574"	0	3	1
"5007"	"OG0005575"	0	2	1
"5008"	"OG0005576"	0	2	1
"5010"	"OG0005578"	0	2	1
"5012"	"OG0005580"	0	3	2
"5014"	"OG0005582"	0	7	1
"5015"	"OG0005583"	0	3	1
"5024"	"OG0005592"	0	3	1
"5025"	"OG0005593"	0	3	1
"5026"	"OG0005594"	0	3	1
"5027"	"OG0005595"	0	2	1
"5030"	"OG0005598"	0	2	1
"5031"	"OG0005599"	0	2	1
"5038"	"OG0005606"	0	2	1
"15277"	"OG0016091"	0	2	1
"15283"	"OG0016097"	0	2	1
"15285"	"OG0016099"	0	3	1
"15289"	"OG0016103"	0	2	1
"15293"	"OG0016107"	0	2	1
"15305"	"OG0016119"	0	2	1
"15313"	"OG0016127"	0	2	1
"15316"	"OG0016130"	0	2	1
"15317"	"OG0016131"	0	2	1
"15319"	"OG0016133"	0	2	1
"15320"	"OG0016134"	0	2	1
"15321"	"OG0016135"	0	2	1
"15326"	"OG0016141"	0	2	1
"15332"	"OG0016148"	0	2	1
"15336"	"OG0016152"	0	2	1
"15337"	"OG0016153"	0	2	1
"15340"	"OG0016156"	0	2	1
"15341"	"OG0016157"	0	2	1
"15351"	"OG0016168"	0	2	1
"15353"	"OG0016170"	0	2	1
"15354"	"OG0016171"	0	2	1
"15355"	"OG0016174"	0	2	1
"15356"	"OG0016175"	0	2	1
"15361"	"OG0016180"	0	2	1
"15363"	"OG0016182"	0	2	1
"15365"	"OG0016184"	0	2	1
"15366"	"OG0016185"	0	2	1
"15372"	"OG0016191"	0	2	1
"15375"	"OG0016196"	0	2	1
"15376"	"OG0016197"	0	2	1
"15379"	"OG0016200"	0	2	1
"15382"	"OG0016203"	0	2	1
"15388"	"OG0016211"	0	2	1
"15390"	"OG0016213"	0	2	1
"15392"	"OG0016216"	0	2	1
"15393"	"OG0016217"	0	5	1
"15397"	"OG0016221"	0	2	1
"15400"	"OG0016224"	0	2	1
"15401"	"OG0016226"	0	2	1
"15403"	"OG0016228"	0	2	1
"15410"	"OG0016235"	0	2	1
"15411"	"OG0016236"	0	2	1
"15412"	"OG0016237"	0	2	1
"15415"	"OG0016241"	0	2	1
"15418"	"OG0016244"	0	2	1
"15424"	"OG0016251"	0	2	1
"15426"	"OG0016253"	0	2	1
"15428"	"OG0016255"	0	2	1
"15433"	"OG0016260"	0	4	1
"15440"	"OG0016268"	0	2	1
"15444"	"OG0016272"	0	2	1
"15447"	"OG0016275"	0	42	1
"15448"	"OG0016276"	0	2	1
"15451"	"OG0016279"	0	2	1
"15462"	"OG0016291"	0	4	1
"15470"	"OG0016299"	0	2	1
"15475"	"OG0016304"	0	2	1
"15477"	"OG0016306"	0	2	1
"15478"	"OG0016307"	0	2	1
"15480"	"OG0016310"	0	2	1
"15483"	"OG0016314"	0	2	1
"15485"	"OG0016316"	0	2	1
"15490"	"OG0016321"	0	4	1
"15492"	"OG0016323"	0	2	1
"15493"	"OG0016324"	0	2	1
"15500"	"OG0016331"	0	2	1
"15504"	"OG0016335"	0	2	1
"15507"	"OG0016338"	0	3	1
"15508"	"OG0016339"	0	2	1
"15519"	"OG0016352"	0	2	1
"15525"	"OG0016358"	0	2	1
"15529"	"OG0016362"	0	2	1
"15530"	"OG0016363"	0	2	1
"15532"	"OG0016365"	0	2	1
"15536"	"OG0016370"	0	2	1
"15544"	"OG0016378"	0	2	1
"15545"	"OG0016379"	0	2	1
"15561"	"OG0016395"	0	2	1
"15565"	"OG0016400"	0	2	1
"15567"	"OG0016402"	0	2	1
"15568"	"OG0016403"	0	2	1
"15570"	"OG0016405"	0	2	1
"15573"	"OG0016409"	0	2	1
"15583"	"OG0016420"	0	7	1
"15584"	"OG0016421"	0	2	1
"15588"	"OG0016425"	0	2	1
"15589"	"OG0016426"	0	3	1
"15591"	"OG0016429"	0	2	1
"15595"	"OG0016433"	0	2	1
"15598"	"OG0016436"	0	2	1
"15601"	"OG0016439"	0	2	1
"15602"	"OG0016440"	0	2	1
"15603"	"OG0016441"	0	2	1
