"og_id"	"Acom"	"Tfas"	"Tlei"
"467"	"OG0000662"	3	4	2
"468"	"OG0000663"	3	2	1
"470"	"OG0000666"	3	3	2
"471"	"OG0000667"	5	3	2
"482"	"OG0000678"	0	7	5
"484"	"OG0000681"	0	7	1
"485"	"OG0000682"	0	3	2
"488"	"OG0000685"	0	6	1
"489"	"OG0000686"	0	5	3
"492"	"OG0000689"	0	6	2
"513"	"OG0000712"	3	3	2
"518"	"OG0000718"	3	3	2
"522"	"OG0000724"	3	8	3
"525"	"OG0000727"	3	2	1
"526"	"OG0000728"	3	3	2
"530"	"OG0000734"	1	2	1
"534"	"OG0000738"	2	3	2
"536"	"OG0000741"	3	3	2
"543"	"OG0000750"	3	3	1
"546"	"OG0000753"	3	3	2
"548"	"OG0000755"	3	4	2
"549"	"OG0000756"	1	3	2
"551"	"OG0000760"	3	3	2
"554"	"OG0000763"	1	4	3
"558"	"OG0000767"	1	4	1
"567"	"OG0000777"	3	4	2
"570"	"OG0000780"	3	3	1
"577"	"OG0000787"	4	4	1
"580"	"OG0000790"	2	3	2
"582"	"OG0000792"	5	2	1
"595"	"OG0000808"	2	3	2
"597"	"OG0000810"	1	3	2
"599"	"OG0000812"	1	5	3
"605"	"OG0000820"	3	2	1
"611"	"OG0000826"	4	3	1
"613"	"OG0000832"	1	5	2
"615"	"OG0000835"	1	2	1
"617"	"OG0000837"	3	3	2
"618"	"OG0000838"	1	2	1
"621"	"OG0000842"	1	3	1
"622"	"OG0000843"	1	6	1
"623"	"OG0000844"	2	3	2
"625"	"OG0000846"	1	5	4
"627"	"OG0000848"	1	3	1
"631"	"OG0000852"	1	4	1
"634"	"OG0000856"	0	3	1
"635"	"OG0000857"	0	6	1
"636"	"OG0000858"	0	4	2
"638"	"OG0000860"	0	7	2
"643"	"OG0000866"	0	7	1
"648"	"OG0000872"	0	3	2
"649"	"OG0000873"	0	5	1
"650"	"OG0000874"	0	3	2
"652"	"OG0000876"	0	5	1
"655"	"OG0000880"	0	5	4
"656"	"OG0000881"	0	3	1
"660"	"OG0000885"	0	7	2
"663"	"OG0000888"	0	6	4
"667"	"OG0000892"	0	5	1
"688"	"OG0000919"	2	3	2
"690"	"OG0000921"	3	3	2
"691"	"OG0000922"	2	3	2
"700"	"OG0000933"	2	3	2
"704"	"OG0000937"	4	2	1
"717"	"OG0000952"	2	3	2
"720"	"OG0000957"	2	3	1
"725"	"OG0000962"	1	2	1
"727"	"OG0000964"	4	2	1
"741"	"OG0000979"	2	2	1
"749"	"OG0000987"	2	4	1
"754"	"OG0000992"	2	4	1
"762"	"OG0001002"	2	3	2
"769"	"OG0001010"	2	3	2
"774"	"OG0001015"	2	3	2
"777"	"OG0001018"	1	4	2
"786"	"OG0001027"	2	3	2
"792"	"OG0001033"	2	4	2
"796"	"OG0001038"	2	5	1
"802"	"OG0001044"	1	3	2
"805"	"OG0001047"	3	22	1
"806"	"OG0001048"	3	20	17
"807"	"OG0001049"	1	3	1
"808"	"OG0001050"	1	3	2
"816"	"OG0001060"	2	3	2
"821"	"OG0001067"	1	3	2
"823"	"OG0001069"	4	2	1
"824"	"OG0001071"	4	2	1
"829"	"OG0001076"	2	4	1
"838"	"OG0001089"	3	2	1
"839"	"OG0001090"	2	2	1
"841"	"OG0001092"	3	3	1
"842"	"OG0001093"	4	2	1
"845"	"OG0001096"	1	3	2
"848"	"OG0001100"	1	3	1
"853"	"OG0001106"	2	3	2
"856"	"OG0001109"	1	5	1
"857"	"OG0001110"	2	5	1
"860"	"OG0001114"	3	2	1
"861"	"OG0001115"	1	4	3
"867"	"OG0001122"	2	3	2
"868"	"OG0001123"	3	2	1
"876"	"OG0001134"	4	2	1
"877"	"OG0001135"	3	2	1
"878"	"OG0001136"	2	3	2
"886"	"OG0001145"	2	3	1
"889"	"OG0001148"	1	3	2
"892"	"OG0001151"	2	5	1
"893"	"OG0001152"	1	4	1
"894"	"OG0001153"	1	5	1
"899"	"OG0001158"	1	5	1
"900"	"OG0001159"	1	5	1
"901"	"OG0001160"	4	2	1
"910"	"OG0001171"	0	6	1
"913"	"OG0001175"	0	3	2
"917"	"OG0001179"	0	4	2
"918"	"OG0001180"	0	7	3
"919"	"OG0001181"	0	5	1
"920"	"OG0001182"	0	2	1
"921"	"OG0001183"	0	4	1
"935"	"OG0001199"	0	8	1
"937"	"OG0001201"	0	5	1
"939"	"OG0001203"	0	5	1
"940"	"OG0001204"	0	13	1
"941"	"OG0001205"	0	6	2
"942"	"OG0001206"	0	4	1
"944"	"OG0001209"	0	5	2
"950"	"OG0001216"	0	4	3
"987"	"OG0001258"	3	2	1
"994"	"OG0001265"	1	2	1
"998"	"OG0001270"	2	2	1
"1000"	"OG0001273"	3	3	1
"1007"	"OG0001280"	3	2	1
"1035"	"OG0001312"	1	2	1
"1037"	"OG0001314"	2	2	1
"1042"	"OG0001321"	1	3	2
"1062"	"OG0001345"	1	4	1
"1074"	"OG0001358"	1	3	1
"1079"	"OG0001363"	1	3	2
"1080"	"OG0001364"	2	2	1
"1087"	"OG0001372"	2	3	1
"1091"	"OG0001377"	2	2	1
"1094"	"OG0001381"	1	3	1
"1098"	"OG0001385"	2	2	1
"1101"	"OG0001388"	3	2	1
"1102"	"OG0001389"	2	2	1
"1125"	"OG0001413"	1	4	1
"1131"	"OG0001419"	1	4	1
"1134"	"OG0001422"	3	2	1
"1139"	"OG0001427"	2	3	1
"1147"	"OG0001436"	2	3	1
"1149"	"OG0001438"	1	4	1
"1151"	"OG0001440"	2	3	1
"1155"	"OG0001444"	3	2	1
"1158"	"OG0001448"	1	3	2
"1164"	"OG0001455"	3	2	1
"1167"	"OG0001458"	2	2	1
"1171"	"OG0001462"	1	2	1
"1192"	"OG0001489"	3	2	1
"1197"	"OG0001494"	1	2	1
"1198"	"OG0001496"	3	2	1
"1202"	"OG0001500"	1	3	2
"1219"	"OG0001519"	1	5	2
"1222"	"OG0001522"	1	4	1
"1224"	"OG0001525"	3	2	1
"1228"	"OG0001529"	2	2	1
"1233"	"OG0001535"	3	2	1
"1243"	"OG0001545"	3	2	1
"1244"	"OG0001546"	2	2	1
