og_id	Acom	Tfas	Tlei	logratio	corr_logratio
OG0000015	0	2	62	-3.43398720448515	-3.45431224445445
OG0005571	0	1	20	-2.99573227355399	-3.01605731352329
OG0000308	0	1	15	-2.70805020110221	-2.72837524107151
OG0002273	1	1	15	-2.70805020110221	-2.72837524107151
OG0000288	2	1	13	-2.56494935746154	-2.58527439743084
OG0000185	0	1	12	-2.484906649788	-2.5052316897573
OG0000389	0	1	12	-2.484906649788	-2.5052316897573
OG0001600	2	1	12	-2.484906649788	-2.5052316897573
OG0000283	0	1	11	-2.39789527279837	-2.41822031276767
OG0000672	0	1	11	-2.39789527279837	-2.41822031276767
OG0000338	1	1	10	-2.30258509299405	-2.32291013296335
OG0002841	0	1	10	-2.30258509299405	-2.32291013296335
OG0000399	0	1	9	-2.19722457733622	-2.21754961730552
OG0002508	1	1	9	-2.19722457733622	-2.21754961730552
OG0000394	0	1	8	-2.07944154167984	-2.09976658164914
OG0000859	0	1	8	-2.07944154167984	-2.09976658164914
OG0000875	0	1	8	-2.07944154167984	-2.09976658164914
OG0002783	0	1	8	-2.07944154167984	-2.09976658164914
OG0000136	1	3	21	-1.94591014905531	-1.96623518902462
OG0000473	0	1	7	-1.94591014905531	-1.96623518902462
OG0000566	0	1	7	-1.94591014905531	-1.96623518902462
OG0000884	0	1	7	-1.94591014905531	-1.96623518902462
OG0000891	0	1	7	-1.94591014905531	-1.96623518902462
OG0000893	0	1	7	-1.94591014905531	-1.96623518902462
OG0001217	0	1	7	-1.94591014905531	-1.96623518902462
OG0001830	0	1	7	-1.94591014905531	-1.96623518902462
OG0004906	1	1	7	-1.94591014905531	-1.96623518902462
OG0005208	1	1	7	-1.94591014905531	-1.96623518902462
OG0000180	2	3	18	-1.79175946922805	-1.81208450919736
OG0000307	0	1	6	-1.79175946922805	-1.81208450919736
OG0000490	3	1	6	-1.79175946922805	-1.81208450919736
OG0000622	1	1	6	-1.79175946922805	-1.81208450919736
OG0000673	0	1	6	-1.79175946922805	-1.81208450919736
OG0000684	0	1	6	-1.79175946922805	-1.81208450919736
OG0000786	1	1	6	-1.79175946922805	-1.81208450919736
OG0000839	1	1	6	-1.79175946922805	-1.81208450919736
OG0000883	0	1	6	-1.79175946922805	-1.81208450919736
OG0000889	0	1	6	-1.79175946922805	-1.81208450919736
OG0000908	3	1	6	-1.79175946922805	-1.81208450919736
OG0001157	1	1	6	-1.79175946922805	-1.81208450919736
OG0001287	1	1	6	-1.79175946922805	-1.81208450919736
OG0001825	0	1	6	-1.79175946922805	-1.81208450919736
OG0002570	1	1	6	-1.79175946922805	-1.81208450919736
OG0002784	0	1	6	-1.79175946922805	-1.81208450919736
OG0002854	0	1	6	-1.79175946922805	-1.81208450919736
