og_id	correction_factor	corr_Tlei_count	old_Tlei_count	total_mean_cov	expected_mean_cov
OG0000302	0.980990435263367	4	4	198.937718661042	202.79272
OG0000303	0.844137903582821	8	10	427.962553806645	506.9818
OG0001494	0.724634784270139	1	2	73.4753294543773	101.39636
OG0016417	1.079251050695	2	2	109.432128066649	101.39636
OG0016416	1.20027403048101	2	2	121.703417693303	101.39636
OG0003643	0.978418714910335	2	2	99.2080962477857	101.39636
OG0003648	2.36199571524492	5	2	239.497767861431	101.39636
OG0016408	1.23492862947066	2	2	125.217267888113	101.39636
OG0010696	1.04677817046961	2	2	106.139496213078	101.39636
OG0003251	0.522053371208919	1	2	52.9343115663131	101.39636
OG0003254	0.493830292589022	1	2	50.0725941262618	101.39636
OG0000690	0.930486314017964	3	3	141.521887906858	152.09454
OG0002127	0.895444964483337	3	3	136.192289968409	152.09454
OG0002128	1.03723582961357	2	2	105.171937584396	101.39636
OG0005319	0.460770573209335	1	2	46.7204589185401	101.39636
OG0005311	1.13498512898594	2	2	115.083360733305	101.39636
OG0003419	0.990209178950617	2	2	100.403606384181	101.39636
OG0000508	0.961766450591021	3	3	146.279425890074	152.09454
OG0000509	1.11160723296928	3	3	169.069390759136	152.09454
OG0000502	1.3679632573668	4	3	208.059742366105	152.09454
OG0000506	0.9779868462849	2	2	99.1643063411684	101.39636
OG0000507	1.01589243668723	2	2	103.007795231615	101.39636
OG0000504	0.910452706328263	2	2	92.3165903738349	101.39636
OG0000505	0.899686558783518	2	2	91.2249422015747	101.39636
OG0001119	0.469442755480908	1	3	71.3996799512012	152.09454
OG0001112	1.05050931390324	3	3	159.776730863828	152.09454
OG0001113	0.901958618710328	3	3	137.182981211783	152.09454
OG0001117	0.672065945019682	2	3	102.217560757434	152.09454
OG0001115	0.973473868281294	3	3	148.060060198264	152.09454
OG0000449	0.728086573676132	1	2	73.8253283356316	101.39636
OG0000999	2.5082939989493	10	4	508.663762606606	202.79272
OG0000998	0.948703313360292	2	2	96.1950626946729	101.39636
OG0000995	1.0857231364734	2	2	110.088374006186	101.39636
OG0000994	0.892344659204491	2	2	90.4805003087758	101.39636
OG0000997	1.0010101516409	2	2	101.498785699435	101.39636
OG0000996	0.955515371248019	2	2	96.8857805685978	101.39636
OG0000991	0.704805156393416	2	3	107.197016051285	152.09454
OG0000990	1.07245194618926	2	2	108.742723618507	101.39636
OG0000993	0.999754492840797	2	2	101.371466467703	101.39636
OG0016218	0.540164852632753	1	2	54.7707498568975	101.39636
OG0001470	0.807168359244209	2	2	81.8439335345352	101.39636
OG0005104	0.971585264571148	2	2	98.5152092571514	101.39636
OG0013319	1.07802542341695	2	2	109.307853921938	101.39636
OG0004309	0.760959477663264	2	3	115.737781713834	152.09454
OG0003624	0.601543357759237	1	2	60.9943068589644	101.39636
OG0003625	0.63355361109067	1	2	64.2400300294496	101.39636
OG0004307	0.966116994513643	2	2	97.9607465778233	101.39636
OG0002579	0.795842454981651	2	2	80.6955280686033	101.39636
OG0002578	0.819988513972918	2	2	83.1438505586631	101.39636
OG0002571	0.921746576235599	2	2	93.4617476727523	101.39636
OG0002570	1.99173859016895	6	3	302.932564671995	152.09454
OG0002572	1.20397368009515	2	2	122.078548697453	101.39636
OG0002576	0.968844669566376	3	3	147.35598434915	152.09454
OG0001900	0.991061427520418	2	2	100.490021286974	101.39636
OG0001902	1.50331155030775	3	2	152.430319147162	101.39636
OG0001907	1.01802356078587	2	2	103.223883457926	101.39636
OG0001906	0.53919245553066	2	4	109.344304660542	202.79272
OG0012193	0.978451247184919	2	2	99.211394902011	101.39636
OG0002100	0.982783978900578	2	2	99.6507181268354	101.39636
OG0002101	1.10368094407738	2	2	111.90923033081	101.39636
OG0002104	0.537271079210514	2	3	81.7159976478267	152.09454
OG0002106	0.650963391408315	1	2	66.0053183820585	101.39636
OG0002818	1.08118755912082	2	2	109.628482972136	101.39636
OG0002812	0.89054361571507	3	3	135.44682158212	152.09454
OG0002810	1.20553212051052	4	3	183.354853324272	152.09454
OG0002811	1.1191050389579	3	3	170.209766111983	152.09454
OG0002816	1.14201205601086	3	3	173.693798333427	152.09454
OG0005599	0.600625577363762	1	2	60.9012472675839	101.39636
OG0005590	1.07618884580044	2	2	109.121631636766	101.39636
OG0005591	0.993743066362195	2	2	100.761929704365	101.39636
OG0005597	0.757276571671927	2	2	76.7850878808125	101.39636
OG0005595	0.528622259315375	1	2	53.6003729095551	101.39636
OG0001281	1.01003726500815	2	2	102.414102136182	101.39636
OG0001287	2.08635422307382	6	3	317.32308583547	152.09454
OG0002741	0.777541663171028	2	2	78.8398943938883	101.39636
OG0002746	1.02931176927891	2	2	104.368466710041	101.39636
OG0002745	1.08125239149258	4	4	219.270113477286	202.79272
OG0002749	0.335435534035246	1	3	51.0179132487451	152.09454
OG0000520	1.05524413074714	2	2	106.997913769124	101.39636
OG0000521	0.766355182992155	4	5	194.264065056346	253.4909
OG0000522	0.733141288528478	3	4	148.675716044995	202.79272
OG0000523	1.03038183187831	3	3	156.715450743888	152.09454
OG0000526	0.670324391358	2	3	101.952679954375	152.09454
OG0000529	0.96109374744084	2	2	97.4514076092605	101.39636
OG0001130	0.49719681492555	1	2	50.4139472370445	101.39636
OG0001132	1.17677324562912	4	3	178.980785478269	152.09454
OG0001136	1.02733637184197	2	2	104.168168600382	101.39636
OG0001137	1.07413229977896	2	2	108.913105356015	101.39636
OG0001139	0.957200768706515	3	3	145.585010604064	152.09454
OG0000429	0.959192720344713	3	3	145.887975572178	152.09454
