"og_id" "correction_factor" "corr_Tfas_count" "old_Tfas_count" "total_mean_cov" "expected_mean_cov"
"68" "OG0004300" "0.640689124163973" "1" "2" "59.1627713791992" "92.3424"
"69" "OG0004301" "0.402081986441271" "1" "2" "37.1292156247544" "92.3424"
"70" "OG0004302" "0.435736112497811" "1" "2" "40.2369183947178" "92.3424"
"71" "OG0004305" "0.596942359163214" "1" "2" "55.1230901067932" "92.3424"
"72" "OG0001905" "0.361837150086184" "1" "3" "50.1193662721777" "138.5136"
"73" "OG0001907" "0.75042407601722" "2" "2" "69.2959601972126" "92.3424"
"74" "OG0001908" "0.462414865630153" "1" "2" "42.7004984879659" "92.3424"
"75" "OG0011551" "0.29508316289012" "1" "2" "27.2486874608647" "92.3424"
"76" "OG0011557" "0.735938080219229" "1" "2" "67.9582885788362" "92.3424"
"77" "OG0002106" "0.296026163748805" "1" "2" "27.3357664233577" "92.3424"
"78" "OG0002107" "0.694284801694575" "1" "2" "64.1119248720011" "92.3424"
"79" "OG0016433" "0.51944730458685" "1" "2" "47.9670107790807" "92.3424"
"80" "OG0005378" "0.389354360336271" "1" "2" "35.9539160839161" "92.3424"
"81" "OG0005376" "0.406149538577353" "1" "2" "37.5048231511254" "92.3424"
"82" "OG0005377" "0.496959550533539" "1" "2" "45.8904375991883" "92.3424"
"83" "OG0005374" "0.40649126625473" "1" "2" "37.5363791050008" "92.3424"
"84" "OG0005370" "0.900485722759072" "2" "2" "83.1530128053073" "92.3424"
"85" "OG0005371" "0.402212026277672" "1" "2" "37.1412238153433" "92.3424"
"86" "OG0004421" "0.297869371992126" "1" "2" "27.5059726962457" "92.3424"
"87" "OG0002818" "0.732038025307423" "2" "3" "101.397222222222" "138.5136"
"88" "OG0004422" "0.446183567507445" "1" "2" "41.2016614641995" "92.3424"
"89" "OG0004424" "0.357746378535621" "1" "2" "33.0351591852877" "92.3424"
"90" "OG0003434" "0.620507614310874" "1" "2" "57.2991623237405" "92.3424"
"91" "OG0002811" "0.636404633359012" "1" "2" "58.7671312154912" "92.3424"
"92" "OG0002814" "0.966226820808288" "4" "4" "178.447407155615" "184.6848"
"93" "OG0016095" "0.277332630068611" "1" "2" "25.6095606588477" "92.3424"
"94" "OG0016094" "0.616691759920054" "1" "2" "56.9467971712415" "92.3424"
"95" "OG0016093" "0.482181917655728" "1" "2" "44.5258355129323" "92.3424"
"96" "OG0005598" "0.516295406286791" "2" "3" "71.5139353882461" "138.5136"
"97" "OG0005591" "0.650548359190465" "1" "2" "60.0731968037096" "92.3424"
"98" "OG0005594" "0.955868750416634" "3" "3" "132.40082174771" "138.5136"
"99" "OG0001281" "0.693734796442397" "2" "3" "96.0917041005037" "138.5136"
"100" "OG0001287" "0.389810522690948" "1" "2" "35.9960392105366" "92.3424"
"101" "OG0002740" "0.44241120122425" "1" "3" "61.2799681618952" "138.5136"
"102" "OG0002747" "0.540124888277815" "2" "3" "74.8146427249579" "138.5136"
"103" "OG0002748" "0.455928293593005" "1" "2" "42.1015128582827" "92.3424"
"104" "OG0000520" "0.477384503478766" "2" "5" "110.207076935094" "230.856"
"105" "OG0000525" "1.44984496482926" "8" "8" "535.528654720998" "369.3696"
"106" "OG0000526" "0.695074352562134" "2" "3" "96.2772508410504" "138.5136"
"107" "OG0000529" "0.543046833879725" "4" "7" "175.511867834993" "323.1984"
"108" "OG0001130" "0.445665211148408" "1" "2" "41.1537951939507" "92.3424"
"109" "OG0001134" "0.438932597333057" "1" "2" "40.5320894759681" "92.3424"
"110" "OG0001135" "0.519012887080964" "2" "3" "71.8903434359779" "138.5136"
"111" "OG0001137" "0.695039519400601" "2" "3" "96.2724259744471" "138.5136"
"112" "OG0001139" "0.724699297407652" "1" "2" "66.9204724009364" "92.3424"
"113" "OG0000428" "0.937078880163406" "3" "3" "129.798169175402" "138.5136"
"114" "OG0000425" "0.480787750575798" "1" "2" "44.3970947787706" "92.3424"
"115" "OG0000426" "0.547633742282964" "3" "6" "151.709442250171" "277.0272"
"116" "OG0000421" "0.25841457523762" "1" "3" "35.7939331086337" "138.5136"
"117" "OG0000420" "0.816321135805539" "3" "4" "150.762105702019" "184.6848"
"118" "OG0000423" "0.399997426688771" "3" "8" "147.746889497061" "369.3696"
"119" "OG0016236" "0.815863619233505" "2" "2" "75.338804672708" "92.3424"
"120" "OG0016234" "0.664358517836833" "1" "2" "61.3484599974959" "92.3424"
"121" "OG0003199" "0.294047587393939" "1" "2" "27.1530599341661" "92.3424"
"122" "OG0003194" "0.323926772902365" "1" "2" "29.9121756340593" "92.3424"
"123" "OG0003197" "0.26083673859646" "1" "2" "24.0862904501698" "92.3424"
"124" "OG0001730" "0.213465887515983" "1" "3" "29.5679285570339" "138.5136"
"125" "OG0001736" "0.665113379773843" "2" "3" "92.1272486406421" "138.5136"
"126" "OG0001737" "0.607668837964128" "1" "2" "56.1135989028187" "92.3424"
"127" "OG0005294" "0.228123790490063" "1" "3" "31.5982474664244" "138.5136"
"128" "OG0005291" "0.691768001398082" "1" "2" "63.8795174923022" "92.3424"
"129" "OG0005290" "0.393218206417827" "1" "2" "36.3107129043176" "92.3424"
"130" "OG0005293" "0.458670297877029" "1" "2" "42.3547161146797" "92.3424"
"131" "OG0005299" "0.399243405642705" "1" "2" "36.8670942612209" "92.3424"
"132" "OG0005298" "0.554650493588399" "1" "2" "51.2177577391374" "92.3424"
"133" "OG0001455" "0.330205816926213" "1" "2" "30.4919976289271" "92.3424"
"134" "OG0001454" "0.528833613185575" "2" "3" "73.2506475633415" "138.5136"
"135" "OG0001459" "0.404337904419952" "1" "2" "37.337532505109" "92.3424"
"136" "OG0001458" "0.719607460368672" "2" "3" "99.6754199225221" "138.5136"
"137" "OG0005129" "0.364941671902201" "1" "2" "33.6995898434618" "92.3424"
"138" "OG0005128" "0.377516342704491" "1" "2" "34.8607651245552" "92.3424"
"139" "OG0005122" "0.735588369163539" "1" "2" "67.9259954206472" "92.3424"
"140" "OG0005127" "0.462550603436759" "1" "2" "42.7130328427986" "92.3424"
"141" "OG0005126" "0.428714136570105" "1" "2" "39.5884922848113" "92.3424"
"142" "OG0005125" "0.515552770057853" "1" "2" "47.6073801137903" "92.3424"
"143" "OG0005124" "0.451559874950274" "1" "2" "41.6981225966081" "92.3424"
"144" "OG0012715" "0.615329790886969" "1" "2" "56.8210296820008" "92.3424"
"145" "OG0004658" "0.361825938995163" "1" "2" "33.4118755890669" "92.3424"
"146" "OG0004659" "0.472102164022962" "1" "2" "43.5950468710739" "92.3424"
"147" "OG0003608" "0.566406333556135" "1" "2" "52.3033202157741" "92.3424"
"148" "OG0003609" "0.505009916114201" "1" "2" "46.633827677784" "92.3424"
"149" "OG0003605" "0.405512553135232" "1" "2" "37.4460023866348" "92.3424"
"150" "OG0004657" "0.442711665075457" "1" "2" "40.8810576610639" "92.3424"
"151" "OG0004654" "0.698286371092146" "1" "2" "64.4814393939394" "92.3424"
"152" "OG0004655" "0.58357299164808" "1" "2" "53.8885306239637" "92.3424"
"153" "OG0002946" "0.592007088387322" "1" "2" "54.6673553586974" "92.3424"
"154" "OG0005042" "0.428279282003234" "1" "2" "39.5483367704554" "92.3424"
"155" "OG0016402" "0.411148946171286" "1" "2" "37.9664804469274" "92.3424"
"156" "OG0016403" "0.748030526236421" "1" "2" "69.0749340659341" "92.3424"
"157" "OG0005043" "0.847499694033556" "2" "2" "78.2601557463242" "92.3424"
"158" "OG0002558" "0.414978143580188" "1" "2" "38.3200777257392" "92.3424"
"159" "OG0002556" "0.640642934774001" "1" "2" "59.1585061400747" "92.3424"
"160" "OG0002555" "0.510864688139748" "1" "2" "47.1744713780758" "92.3424"
"161" "OG0002554" "0.719784124965222" "2" "3" "99.6998903717827" "138.5136"
"162" "OG0002551" "0.432406419506281" "1" "2" "39.9294465526168" "92.3424"
"163" "OG0002550" "0.594419874511817" "2" "3" "82.3352367301801" "138.5136"
"164" "OG0001924" "0.43888633502576" "1" "2" "40.5278175034828" "92.3424"
"165" "OG0001922" "0.587381806552748" "1" "2" "54.2402457334165" "92.3424"
"166" "OG0001920" "0.383783431000581" "1" "2" "35.4394830988281" "92.3424"
"167" "OG0001928" "0.675346783949983" "2" "3" "93.5447142933344" "138.5136"
"168" "OG0013949" "0.452493924784281" "1" "2" "41.784375" "92.3424"
"169" "OG0002168" "0.298349432544809" "1" "3" "41.3254539597387" "138.5136"
"170" "OG0002166" "0.460907492546091" "1" "2" "42.5613040396882" "92.3424"
"171" "OG0004860" "0.967964798126321" "2" "2" "89.3841925745" "92.3424"
"172" "OG0003385" "0.668384463972514" "1" "2" "61.7202255259355" "92.3424"
"173" "OG0003384" "0.696700273866156" "1" "2" "64.3349753694581" "92.3424"
"174" "OG0004011" "0.453060309134829" "1" "2" "41.836676290252" "92.3424"
"175" "OG0005354" "1.09472646450296" "2" "2" "101.089669075718" "92.3424"
"176" "OG0005355" "0.366402910888202" "1" "2" "33.8345241584027" "92.3424"
"177" "OG0005350" "0.538915138196728" "1" "2" "49.7647172574175" "92.3424"
"178" "OG0005351" "0.481150942959007" "1" "2" "44.4306328350978" "92.3424"
"179" "OG0005358" "0.434366527992226" "1" "2" "40.1104476744693" "92.3424"
"180" "OG0005359" "0.361272695438776" "1" "2" "33.3607877512856" "92.3424"
"181" "OG0004407" "0.24306641462096" "1" "2" "22.4453360854946" "92.3424"
"182" "OG0002838" "0.914102216819234" "3" "3" "126.615588819613" "138.5136"
"183" "OG0002839" "1.02269786542542" "4" "4" "188.87675073652" "184.6848"
"184" "OG0004973" "0.461913967001272" "1" "2" "42.6542443064182" "92.3424"
"185" "OG0004972" "0.830341052764135" "2" "2" "76.6756856307668" "92.3424"
"186" "OG0000091" "1.06349986238854" "9" "9" "441.927583616822" "415.5408"
"187" "OG0000094" "1.10788687257622" "25" "25" "1278.81165927727" "1154.28"
"188" "OG0000095" "0.890962702085031" "20" "22" "905.009976431185" "1015.7664"
"189" "OG0005550" "0.80511141843083" "2" "2" "74.3459206453071" "92.3424"
"190" "OG0002760" "0.663201036857854" "1" "2" "61.2415754259427" "92.3424"
"191" "OG0002761" "0.704561220950399" "1" "2" "65.0608740894901" "92.3424"
"192" "OG0002764" "0.577475162849093" "1" "2" "53.3254424778761" "92.3424"
"193" "OG0002766" "0.325554902894541" "1" "3" "45.0937815975733" "138.5136"
"194" "OG0000546" "0.839464018793684" "4" "5" "193.795305522635" "230.856"
