OG0002972	99.0000	0.0416	0.0004	-749.616766	-744.650161	9.933209999999917	0.00162
OG0005000	99.0000	0.0247	0.0002	-870.866048	-867.131871	7.468353999999863	0.00628
OG0005786	3.9514	0.0233	0.0059	-1087.73296	-1085.653443	4.159034000000247	0.04141
OG0006131	2.3387	0.0236	0.0101	-3304.804046	-3302.598622	4.410848000000442	0.03571
OG0007145	99.0000	0.0120	0.0001	-1223.802889	-1221.826832	3.952114000000165	0.04681
OG0007567	4.2546	0.0202	0.0047	-1089.576949	-1087.442933	4.268031999999948	0.03884
OG0007666	99.0000	0.0105	0.0001	-1170.034455	-1167.820651	4.427607999999964	0.03536
OG0008124	3.1536	0.0238	0.0075	-2945.654724	-2942.61533	6.078787999999804	0.01368
OG0008528	8.1700	0.0322	0.0039	-672.84525	-669.755047	6.180405999999948	0.01292
OG0008682	99.0000	0.0167	0.0002	-878.258224	-875.701599	5.113250000000107	0.02374
OG0008797	3.8733	0.0124	0.0032	-1960.824974	-1958.815149	4.019650000000183	0.04497
OG0008977	2.6204	0.0281	0.0107	-4092.327497	-4088.409338	7.836318000000574	0.00512
OG0009004	3.1379	0.0271	0.0087	-1843.660383	-1840.465998	6.388770000000022	0.01148
OG0009057	1.6456	0.0814	0.0495	-2226.89737	-2224.664659	4.465422000000217	0.03459
OG0009294	99.0000	0.0233	0.0002	-634.430618	-632.013842	4.833552000000054	0.02791
OG0009302	5.1104	0.0154	0.0030	-1669.415504	-1667.493162	3.844684000000143	0.04990
OG0009784	3.3685	0.0147	0.0044	-2337.306169	-2334.947849	4.716639999999643	0.02987
OG0010014	2.0042	0.0701	0.0350	-3552.205499	-3548.435138	7.540722000000642	0.00603
OG0011707	2.9058	0.0430	0.0148	-1713.812413	-1711.203793	5.217240000000402	0.02236
OG0011786	9.2985	0.0189	0.0020	-2789.00996	-2781.271494	15.476931999999579	0.00008
OG0011955	99.0000	0.0160	0.0002	-862.410411	-860.327796	4.165229999999838	0.04126
OG0012322	4.6998	0.0239	0.0051	-1047.58415	-1044.992445	5.18340999999964	0.02280
OG0012598	3.9743	0.0170	0.0043	-1294.372074	-1292.372831	3.998486000000412	0.04554
OG0012770	99.0000	0.0318	0.0003	-485.020305	-481.984959	6.070692000000008	0.01374
OG0013610	3.3172	0.0180	0.0054	-3109.440922	-3106.859877	5.162089999999807	0.02309
OG0014443	3.2648	0.0217	0.0066	-1688.669441	-1686.437931	4.463020000000142	0.03464
OG0015011	6.2979	0.0115	0.0018	-2106.844215	-2104.341797	5.0048360000000685	0.02528
OG0015603	8.0697	0.0228	0.0028	-823.509347	-820.593934	5.8308260000001155	0.01575
OG0015898	99.0000	0.0128	0.0001	-1052.788022	-1050.699371	4.177302000000054	0.04097
OG0016009	5.5546	0.0964	0.0174	-600.134427	-598.020943	4.2269679999999425	0.03979
OG0017954	99.0000	0.0291	0.0003	-498.286438	-496.139861	4.293153999999959	0.03827
OG0018031	99.0000	0.0387	0.0004	-420.688808	-418.235133	4.907349999999951	0.02674
OG0018087	99.0000	0.0425	0.0004	-273.062786	-270.991509	4.142554000000018	0.04182
OG0018133	99.0000	0.0674	0.0007	-259.408065	-257.245173	4.325783999999999	0.03754
OG0018168	99.0000	0.0524	0.0005	-337.312188	-334.909028	4.806320000000028	0.02836
OG0018169	99.0000	0.0163	0.0002	-651.8798	-649.879421	4.000758000000133	0.04548
OG0018983	4.1811	0.0117	0.0028	-2311.959135	-2309.616609	4.685051999999814	0.03043
OG0019176	2.8534	0.0466	0.0163	-2878.012365	-2874.175842	7.673045999999886	0.00561
