"chrom" "V2" "V3" "V4"
"111" "Scaffold_2041" "13000001" "1.4e+07" "5"
"112" "Scaffold_2041" "14000001" "1.5e+07" "2"
"113" "Scaffold_2041" "15000001" "1.6e+07" "5"
"114" "Scaffold_2041" "16000001" "1.7e+07" "5"
"115" "Scaffold_2041" "17000001" "1.8e+07" "4"
"116" "Scaffold_2041" "18000001" "1.9e+07" "4"
"117" "Scaffold_2041" "19000001" "2e+07" "3"
"118" "Scaffold_2041" "20000001" "2.1e+07" "13"
"119" "Scaffold_2041" "21000001" "2.2e+07" "9"
"120" "Scaffold_2041" "22000001" "2.3e+07" "35"
"121" "Scaffold_2041" "23000001" "2.4e+07" "38"
"122" "Scaffold_2041" "24000001" "2.5e+07" "37"
"123" "Scaffold_2041" "25000001" "2.6e+07" "31"
"124" "Scaffold_2041" "26000001" "2.7e+07" "78"
"125" "Scaffold_2041" "27000001" "2.8e+07" "81"
"126" "Scaffold_2041" "28000001" "2.9e+07" "61"
"127" "Scaffold_2041" "29000001" "3e+07" "43"
"128" "Scaffold_2041" "30000001" "3.1e+07" "66"
"129" "Scaffold_2096" "1" "1e+06" "85"
"130" "Scaffold_2096" "1000001" "2e+06" "69"
"131" "Scaffold_2096" "2000001" "3e+06" "90"
"132" "Scaffold_2096" "3000001" "4e+06" "43"
"133" "Scaffold_2096" "4000001" "5e+06" "21"
"134" "Scaffold_2096" "5000001" "6e+06" "9"
"135" "Scaffold_2096" "6000001" "7e+06" "6"
"136" "Scaffold_2096" "7000001" "8e+06" "7"
"137" "Scaffold_2096" "8000001" "9e+06" "2"
"138" "Scaffold_2096" "9000001" "1e+07" "5"
"139" "Scaffold_2096" "10000001" "1.1e+07" "2"
"140" "Scaffold_2096" "11000001" "1.2e+07" "1"
"141" "Scaffold_2096" "12000001" "1.3e+07" "1"
"142" "Scaffold_2096" "13000001" "1.4e+07" "1"
"143" "Scaffold_2096" "14000001" "1.5e+07" "4"
"144" "Scaffold_2096" "15000001" "1.6e+07" "4"
"145" "Scaffold_2096" "16000001" "1.7e+07" "7"
"146" "Scaffold_2096" "17000001" "1.8e+07" "3"
"147" "Scaffold_2096" "18000001" "1.9e+07" "4"
"148" "Scaffold_2096" "19000001" "2e+07" "5"
"149" "Scaffold_2096" "20000001" "2.1e+07" "7"
"150" "Scaffold_2096" "21000001" "2.2e+07" "5"
"151" "Scaffold_2096" "22000001" "2.3e+07" "2"
"152" "Scaffold_2096" "23000001" "2.4e+07" "9"
"153" "Scaffold_2096" "24000001" "2.5e+07" "6"
"154" "Scaffold_2096" "25000001" "2.6e+07" "16"
"155" "Scaffold_2096" "26000001" "2.7e+07" "12"
"156" "Scaffold_2096" "27000001" "2.8e+07" "37"
"157" "Scaffold_2096" "28000001" "2.9e+07" "93"
"158" "Scaffold_2096" "29000001" "3e+07" "83"
"159" "Scaffold_2096" "30000001" "3.1e+07" "11"
"160" "Scaffold_2315" "1" "1e+06" "51"
"161" "Scaffold_2315" "1000001" "2e+06" "61"
"162" "Scaffold_2315" "2000001" "3e+06" "23"
"163" "Scaffold_2315" "3000001" "4e+06" "12"
"164" "Scaffold_2315" "4000001" "5e+06" "5"
"165" "Scaffold_2315" "5000001" "6e+06" "4"
"166" "Scaffold_2315" "6000001" "7e+06" "5"
"167" "Scaffold_2315" "7000001" "8e+06" "5"
"168" "Scaffold_2315" "8000001" "9e+06" "9"
"169" "Scaffold_2315" "9000001" "1e+07" "4"
"170" "Scaffold_2315" "10000001" "1.1e+07" "4"
"171" "Scaffold_2315" "11000001" "1.2e+07" "5"
"172" "Scaffold_2315" "12000001" "1.3e+07" "5"
"173" "Scaffold_2315" "13000001" "1.4e+07" "1"
"174" "Scaffold_2315" "14000001" "1.5e+07" "3"
"175" "Scaffold_2315" "15000001" "1.6e+07" "4"
"176" "Scaffold_2315" "16000001" "1.7e+07" "7"
"177" "Scaffold_2315" "17000001" "1.8e+07" "1"
"178" "Scaffold_2315" "18000001" "1.9e+07" "4"
"179" "Scaffold_2315" "19000001" "2e+07" "4"
"180" "Scaffold_2315" "20000001" "2.1e+07" "6"
"181" "Scaffold_2315" "21000001" "2.2e+07" "3"
"182" "Scaffold_2315" "22000001" "2.3e+07" "6"
"183" "Scaffold_2315" "23000001" "2.4e+07" "17"
"184" "Scaffold_2315" "24000001" "2.5e+07" "23"
"185" "Scaffold_2315" "25000001" "2.6e+07" "55"
"186" "Scaffold_2315" "26000001" "2.7e+07" "82"
"187" "Scaffold_2315" "27000001" "2.8e+07" "77"
"188" "Scaffold_2315" "28000001" "2.9e+07" "79"
"189" "Scaffold_2315" "29000001" "3e+07" "29"
"190" "Scaffold_2317" "1" "1e+06" "98"
"191" "Scaffold_2317" "1000001" "2e+06" "88"
"192" "Scaffold_2317" "2000001" "3e+06" "55"
"193" "Scaffold_2317" "3000001" "4e+06" "40"
"194" "Scaffold_2317" "4000001" "5e+06" "42"
"195" "Scaffold_2317" "5000001" "6e+06" "13"
"196" "Scaffold_2317" "6000001" "7e+06" "6"
"197" "Scaffold_2317" "7000001" "8e+06" "13"
"198" "Scaffold_2317" "8000001" "9e+06" "7"
"199" "Scaffold_2317" "9000001" "1e+07" "9"
"200" "Scaffold_2317" "10000001" "1.1e+07" "5"
"201" "Scaffold_2317" "11000001" "1.2e+07" "5"
"202" "Scaffold_2317" "12000001" "1.3e+07" "7"
"203" "Scaffold_2317" "13000001" "1.4e+07" "4"
"204" "Scaffold_2317" "14000001" "1.5e+07" "0"
"205" "Scaffold_2317" "15000001" "1.6e+07" "0"
"206" "Scaffold_2317" "16000001" "1.7e+07" "7"
"207" "Scaffold_2317" "17000001" "1.8e+07" "5"
"208" "Scaffold_2317" "18000001" "1.9e+07" "8"
"209" "Scaffold_2317" "19000001" "2e+07" "1"
"210" "Scaffold_2317" "20000001" "2.1e+07" "5"
"211" "Scaffold_2317" "21000001" "2.2e+07" "0"
"212" "Scaffold_2317" "22000001" "2.3e+07" "1"
"213" "Scaffold_2317" "23000001" "2.4e+07" "3"
"214" "Scaffold_2317" "24000001" "2.5e+07" "10"
"215" "Scaffold_2317" "25000001" "2.6e+07" "7"
"216" "Scaffold_2317" "26000001" "2.7e+07" "13"
"217" "Scaffold_2317" "27000001" "2.8e+07" "0"
"218" "Scaffold_2287" "1" "1e+06" "101"
"219" "Scaffold_2287" "1000001" "2e+06" "77"
"220" "Scaffold_2287" "2000001" "3e+06" "47"
"221" "Scaffold_2287" "3000001" "4e+06" "32"
"222" "Scaffold_2287" "4000001" "5e+06" "14"
"223" "Scaffold_2287" "5000001" "6e+06" "9"
"224" "Scaffold_2287" "6000001" "7e+06" "10"
"225" "Scaffold_2287" "7000001" "8e+06" "8"
"226" "Scaffold_2287" "8000001" "9e+06" "3"
"227" "Scaffold_2287" "9000001" "1e+07" "2"
"228" "Scaffold_2287" "10000001" "1.1e+07" "6"
"229" "Scaffold_2287" "11000001" "1.2e+07" "8"
"230" "Scaffold_2287" "12000001" "1.3e+07" "5"
"231" "Scaffold_2287" "13000001" "1.4e+07" "3"
