"chrom" "V2" "V3" "V4"
"111" "Scaffold_2041" "13000001" "1.4e+07" "7"
"112" "Scaffold_2041" "14000001" "1.5e+07" "4"
"113" "Scaffold_2041" "15000001" "1.6e+07" "1"
"114" "Scaffold_2041" "16000001" "1.7e+07" "4"
"115" "Scaffold_2041" "17000001" "1.8e+07" "4"
"116" "Scaffold_2041" "18000001" "1.9e+07" "3"
"117" "Scaffold_2041" "19000001" "2e+07" "14"
"118" "Scaffold_2041" "20000001" "2.1e+07" "17"
"119" "Scaffold_2041" "21000001" "2.2e+07" "11"
"120" "Scaffold_2041" "22000001" "2.3e+07" "15"
"121" "Scaffold_2041" "23000001" "2.4e+07" "17"
"122" "Scaffold_2041" "24000001" "2.5e+07" "36"
"123" "Scaffold_2041" "25000001" "2.6e+07" "45"
"124" "Scaffold_2041" "26000001" "2.7e+07" "18"
"125" "Scaffold_2041" "27000001" "2.8e+07" "20"
"126" "Scaffold_2041" "28000001" "2.9e+07" "27"
"127" "Scaffold_2041" "29000001" "3e+07" "32"
"128" "Scaffold_2041" "30000001" "3.1e+07" "17"
"129" "Scaffold_2096" "1" "1e+06" "15"
"130" "Scaffold_2096" "1000001" "2e+06" "28"
"131" "Scaffold_2096" "2000001" "3e+06" "17"
"132" "Scaffold_2096" "3000001" "4e+06" "25"
"133" "Scaffold_2096" "4000001" "5e+06" "44"
"134" "Scaffold_2096" "5000001" "6e+06" "25"
"135" "Scaffold_2096" "6000001" "7e+06" "9"
"136" "Scaffold_2096" "7000001" "8e+06" "8"
"137" "Scaffold_2096" "8000001" "9e+06" "17"
"138" "Scaffold_2096" "9000001" "1e+07" "4"
"139" "Scaffold_2096" "10000001" "1.1e+07" "3"
"140" "Scaffold_2096" "11000001" "1.2e+07" "1"
"141" "Scaffold_2096" "12000001" "1.3e+07" "3"
"142" "Scaffold_2096" "13000001" "1.4e+07" "2"
"143" "Scaffold_2096" "14000001" "1.5e+07" "5"
"144" "Scaffold_2096" "15000001" "1.6e+07" "8"
"145" "Scaffold_2096" "16000001" "1.7e+07" "3"
"146" "Scaffold_2096" "17000001" "1.8e+07" "3"
"147" "Scaffold_2096" "18000001" "1.9e+07" "9"
"148" "Scaffold_2096" "19000001" "2e+07" "1"
"149" "Scaffold_2096" "20000001" "2.1e+07" "0"
"150" "Scaffold_2096" "21000001" "2.2e+07" "5"
"151" "Scaffold_2096" "22000001" "2.3e+07" "19"
"152" "Scaffold_2096" "23000001" "2.4e+07" "10"
"153" "Scaffold_2096" "24000001" "2.5e+07" "14"
"154" "Scaffold_2096" "25000001" "2.6e+07" "15"
"155" "Scaffold_2096" "26000001" "2.7e+07" "22"
"156" "Scaffold_2096" "27000001" "2.8e+07" "31"
"157" "Scaffold_2096" "28000001" "2.9e+07" "16"
"158" "Scaffold_2096" "29000001" "3e+07" "40"
"159" "Scaffold_2096" "30000001" "3.1e+07" "3"
"160" "Scaffold_2315" "1" "1e+06" "25"
"161" "Scaffold_2315" "1000001" "2e+06" "20"
"162" "Scaffold_2315" "2000001" "3e+06" "13"
"163" "Scaffold_2315" "3000001" "4e+06" "9"
"164" "Scaffold_2315" "4000001" "5e+06" "14"
"165" "Scaffold_2315" "5000001" "6e+06" "5"
"166" "Scaffold_2315" "6000001" "7e+06" "7"
"167" "Scaffold_2315" "7000001" "8e+06" "7"
"168" "Scaffold_2315" "8000001" "9e+06" "17"
"169" "Scaffold_2315" "9000001" "1e+07" "7"
"170" "Scaffold_2315" "10000001" "1.1e+07" "4"
"171" "Scaffold_2315" "11000001" "1.2e+07" "12"
"172" "Scaffold_2315" "12000001" "1.3e+07" "4"
"173" "Scaffold_2315" "13000001" "1.4e+07" "8"
"174" "Scaffold_2315" "14000001" "1.5e+07" "3"
"175" "Scaffold_2315" "15000001" "1.6e+07" "3"
"176" "Scaffold_2315" "16000001" "1.7e+07" "6"
"177" "Scaffold_2315" "17000001" "1.8e+07" "5"
"178" "Scaffold_2315" "18000001" "1.9e+07" "3"
"179" "Scaffold_2315" "19000001" "2e+07" "3"
"180" "Scaffold_2315" "20000001" "2.1e+07" "18"
"181" "Scaffold_2315" "21000001" "2.2e+07" "8"
"182" "Scaffold_2315" "22000001" "2.3e+07" "0"
"183" "Scaffold_2315" "23000001" "2.4e+07" "25"
"184" "Scaffold_2315" "24000001" "2.5e+07" "36"
"185" "Scaffold_2315" "25000001" "2.6e+07" "30"
"186" "Scaffold_2315" "26000001" "2.7e+07" "22"
"187" "Scaffold_2315" "27000001" "2.8e+07" "38"
"188" "Scaffold_2315" "28000001" "2.9e+07" "39"
"189" "Scaffold_2315" "29000001" "3e+07" "17"
"190" "Scaffold_2317" "1" "1e+06" "27"
"191" "Scaffold_2317" "1000001" "2e+06" "28"
"192" "Scaffold_2317" "2000001" "3e+06" "37"
"193" "Scaffold_2317" "3000001" "4e+06" "29"
"194" "Scaffold_2317" "4000001" "5e+06" "22"
"195" "Scaffold_2317" "5000001" "6e+06" "11"
"196" "Scaffold_2317" "6000001" "7e+06" "5"
"197" "Scaffold_2317" "7000001" "8e+06" "17"
"198" "Scaffold_2317" "8000001" "9e+06" "6"
"199" "Scaffold_2317" "9000001" "1e+07" "16"
"200" "Scaffold_2317" "10000001" "1.1e+07" "10"
"201" "Scaffold_2317" "11000001" "1.2e+07" "18"
"202" "Scaffold_2317" "12000001" "1.3e+07" "15"
"203" "Scaffold_2317" "13000001" "1.4e+07" "12"
"204" "Scaffold_2317" "14000001" "1.5e+07" "15"
"205" "Scaffold_2317" "15000001" "1.6e+07" "18"
"206" "Scaffold_2317" "16000001" "1.7e+07" "15"
"207" "Scaffold_2317" "17000001" "1.8e+07" "27"
"208" "Scaffold_2317" "18000001" "1.9e+07" "15"
"209" "Scaffold_2317" "19000001" "2e+07" "18"
"210" "Scaffold_2317" "20000001" "2.1e+07" "35"
"211" "Scaffold_2317" "21000001" "2.2e+07" "15"
"212" "Scaffold_2317" "22000001" "2.3e+07" "49"
"213" "Scaffold_2317" "23000001" "2.4e+07" "41"
"214" "Scaffold_2317" "24000001" "2.5e+07" "24"
"215" "Scaffold_2317" "25000001" "2.6e+07" "30"
"216" "Scaffold_2317" "26000001" "2.7e+07" "32"
"217" "Scaffold_2317" "27000001" "2.8e+07" "5"
"218" "Scaffold_2287" "1" "1e+06" "12"
"219" "Scaffold_2287" "1000001" "2e+06" "23"
"220" "Scaffold_2287" "2000001" "3e+06" "24"
"221" "Scaffold_2287" "3000001" "4e+06" "22"
"222" "Scaffold_2287" "4000001" "5e+06" "24"
"223" "Scaffold_2287" "5000001" "6e+06" "29"
"224" "Scaffold_2287" "6000001" "7e+06" "14"
"225" "Scaffold_2287" "7000001" "8e+06" "18"
"226" "Scaffold_2287" "8000001" "9e+06" "3"
"227" "Scaffold_2287" "9000001" "1e+07" "15"
