"chrom" "V2" "V3" "counts"
"111" "Scaffold_2041" "13000001" "1.4e+07" "12"
"112" "Scaffold_2041" "14000001" "1.5e+07" "6"
"113" "Scaffold_2041" "15000001" "1.6e+07" "6"
"114" "Scaffold_2041" "16000001" "1.7e+07" "9"
"115" "Scaffold_2041" "17000001" "1.8e+07" "9"
"116" "Scaffold_2041" "18000001" "1.9e+07" "8"
"117" "Scaffold_2041" "19000001" "2e+07" "17"
"118" "Scaffold_2041" "20000001" "2.1e+07" "31"
"119" "Scaffold_2041" "21000001" "2.2e+07" "21"
"120" "Scaffold_2041" "22000001" "2.3e+07" "51"
"121" "Scaffold_2041" "23000001" "2.4e+07" "61"
"122" "Scaffold_2041" "24000001" "2.5e+07" "78"
"123" "Scaffold_2041" "25000001" "2.6e+07" "79"
"124" "Scaffold_2041" "26000001" "2.7e+07" "98"
"125" "Scaffold_2041" "27000001" "2.8e+07" "108"
"126" "Scaffold_2041" "28000001" "2.9e+07" "98"
"127" "Scaffold_2041" "29000001" "3e+07" "81"
"128" "Scaffold_2041" "30000001" "3.1e+07" "85"
"129" "Scaffold_2096" "1" "1e+06" "106"
"130" "Scaffold_2096" "1000001" "2e+06" "103"
"131" "Scaffold_2096" "2000001" "3e+06" "114"
"132" "Scaffold_2096" "3000001" "4e+06" "72"
"133" "Scaffold_2096" "4000001" "5e+06" "70"
"134" "Scaffold_2096" "5000001" "6e+06" "36"
"135" "Scaffold_2096" "6000001" "7e+06" "15"
"136" "Scaffold_2096" "7000001" "8e+06" "16"
"137" "Scaffold_2096" "8000001" "9e+06" "19"
"138" "Scaffold_2096" "9000001" "1e+07" "9"
"139" "Scaffold_2096" "10000001" "1.1e+07" "5"
"140" "Scaffold_2096" "11000001" "1.2e+07" "2"
"141" "Scaffold_2096" "12000001" "1.3e+07" "4"
"142" "Scaffold_2096" "13000001" "1.4e+07" "4"
"143" "Scaffold_2096" "14000001" "1.5e+07" "9"
"144" "Scaffold_2096" "15000001" "1.6e+07" "12"
"145" "Scaffold_2096" "16000001" "1.7e+07" "13"
"146" "Scaffold_2096" "17000001" "1.8e+07" "6"
"147" "Scaffold_2096" "18000001" "1.9e+07" "14"
"148" "Scaffold_2096" "19000001" "2e+07" "7"
"149" "Scaffold_2096" "20000001" "2.1e+07" "7"
"150" "Scaffold_2096" "21000001" "2.2e+07" "10"
"151" "Scaffold_2096" "22000001" "2.3e+07" "22"
"152" "Scaffold_2096" "23000001" "2.4e+07" "19"
"153" "Scaffold_2096" "24000001" "2.5e+07" "20"
"154" "Scaffold_2096" "25000001" "2.6e+07" "32"
"155" "Scaffold_2096" "26000001" "2.7e+07" "36"
"156" "Scaffold_2096" "27000001" "2.8e+07" "73"
"157" "Scaffold_2096" "28000001" "2.9e+07" "119"
"158" "Scaffold_2096" "29000001" "3e+07" "128"
"159" "Scaffold_2096" "30000001" "3.1e+07" "14"
"160" "Scaffold_2315" "1" "1e+06" "81"
"161" "Scaffold_2315" "1000001" "2e+06" "84"
"162" "Scaffold_2315" "2000001" "3e+06" "39"
"163" "Scaffold_2315" "3000001" "4e+06" "22"
"164" "Scaffold_2315" "4000001" "5e+06" "21"
"165" "Scaffold_2315" "5000001" "6e+06" "10"
"166" "Scaffold_2315" "6000001" "7e+06" "13"
"167" "Scaffold_2315" "7000001" "8e+06" "14"
"168" "Scaffold_2315" "8000001" "9e+06" "29"
"169" "Scaffold_2315" "9000001" "1e+07" "11"
"170" "Scaffold_2315" "10000001" "1.1e+07" "9"
"171" "Scaffold_2315" "11000001" "1.2e+07" "17"
"172" "Scaffold_2315" "12000001" "1.3e+07" "9"
"173" "Scaffold_2315" "13000001" "1.4e+07" "9"
"174" "Scaffold_2315" "14000001" "1.5e+07" "6"
"175" "Scaffold_2315" "15000001" "1.6e+07" "7"
"176" "Scaffold_2315" "16000001" "1.7e+07" "15"
"177" "Scaffold_2315" "17000001" "1.8e+07" "6"
"178" "Scaffold_2315" "18000001" "1.9e+07" "7"
"179" "Scaffold_2315" "19000001" "2e+07" "8"
"180" "Scaffold_2315" "20000001" "2.1e+07" "25"
"181" "Scaffold_2315" "21000001" "2.2e+07" "11"
"182" "Scaffold_2315" "22000001" "2.3e+07" "6"
"183" "Scaffold_2315" "23000001" "2.4e+07" "43"
"184" "Scaffold_2315" "24000001" "2.5e+07" "59"
"185" "Scaffold_2315" "25000001" "2.6e+07" "85"
"186" "Scaffold_2315" "26000001" "2.7e+07" "111"
"187" "Scaffold_2315" "27000001" "2.8e+07" "123"
"188" "Scaffold_2315" "28000001" "2.9e+07" "129"
"189" "Scaffold_2315" "29000001" "3e+07" "48"
"190" "Scaffold_2317" "1" "1e+06" "131"
"191" "Scaffold_2317" "1000001" "2e+06" "120"
"192" "Scaffold_2317" "2000001" "3e+06" "97"
"193" "Scaffold_2317" "3000001" "4e+06" "73"
"194" "Scaffold_2317" "4000001" "5e+06" "66"
"195" "Scaffold_2317" "5000001" "6e+06" "27"
"196" "Scaffold_2317" "6000001" "7e+06" "11"
"197" "Scaffold_2317" "7000001" "8e+06" "33"
"198" "Scaffold_2317" "8000001" "9e+06" "13"
"199" "Scaffold_2317" "9000001" "1e+07" "25"
"200" "Scaffold_2317" "10000001" "1.1e+07" "17"
"201" "Scaffold_2317" "11000001" "1.2e+07" "24"
"202" "Scaffold_2317" "12000001" "1.3e+07" "22"
"203" "Scaffold_2317" "13000001" "1.4e+07" "16"
"204" "Scaffold_2317" "14000001" "1.5e+07" "15"
"205" "Scaffold_2317" "15000001" "1.6e+07" "19"
"206" "Scaffold_2317" "16000001" "1.7e+07" "23"
"207" "Scaffold_2317" "17000001" "1.8e+07" "32"
"208" "Scaffold_2317" "18000001" "1.9e+07" "24"
"209" "Scaffold_2317" "19000001" "2e+07" "19"
"210" "Scaffold_2317" "20000001" "2.1e+07" "41"
"211" "Scaffold_2317" "21000001" "2.2e+07" "15"
"212" "Scaffold_2317" "22000001" "2.3e+07" "51"
"213" "Scaffold_2317" "23000001" "2.4e+07" "46"
"214" "Scaffold_2317" "24000001" "2.5e+07" "37"
"215" "Scaffold_2317" "25000001" "2.6e+07" "37"
"216" "Scaffold_2317" "26000001" "2.7e+07" "46"
"217" "Scaffold_2317" "27000001" "2.8e+07" "5"
"218" "Scaffold_2287" "1" "1e+06" "118"
"219" "Scaffold_2287" "1000001" "2e+06" "105"
"220" "Scaffold_2287" "2000001" "3e+06" "72"
"221" "Scaffold_2287" "3000001" "4e+06" "58"
"222" "Scaffold_2287" "4000001" "5e+06" "40"
"223" "Scaffold_2287" "5000001" "6e+06" "43"
"224" "Scaffold_2287" "6000001" "7e+06" "24"
"225" "Scaffold_2287" "7000001" "8e+06" "28"
"226" "Scaffold_2287" "8000001" "9e+06" "6"
"227" "Scaffold_2287" "9000001" "1e+07" "17"
"228" "Scaffold_2287" "10000001" "1.1e+07" "21"
"229" "Scaffold_2287" "11000001" "1.2e+07" "18"
"230" "Scaffold_2287" "12000001" "1.3e+07" "14"
"231" "Scaffold_2287" "13000001" "1.4e+07" "7"
"232" "Scaffold_2287" "14000001" "1.5e+07" "9"
"233" "Scaffold_2287" "15000001" "1.6e+07" "7"
"234" "Scaffold_2287" "16000001" "1.7e+07" "13"
"235" "Scaffold_2287" "17000001" "1.8e+07" "8"
"236" "Scaffold_2287" "18000001" "1.9e+07" "3"
"237" "Scaffold_2287" "19000001" "2e+07" "14"
"238" "Scaffold_2287" "20000001" "2.1e+07" "7"
"239" "Scaffold_2287" "21000001" "2.2e+07" "30"
"240" "Scaffold_2287" "22000001" "2.3e+07" "40"
"241" "Scaffold_2287" "23000001" "2.4e+07" "56"
"242" "Scaffold_2287" "24000001" "2.5e+07" "68"
"243" "Scaffold_2287" "25000001" "2.6e+07" "98"
"244" "Scaffold_2287" "26000001" "2.7e+07" "119"
"245" "Scaffold_2287" "27000001" "2.8e+07" "17"
"246" "Scaffold_326" "1" "1e+06" "122"
"247" "Scaffold_326" "1000001" "2e+06" "99"
"248" "Scaffold_326" "2000001" "3e+06" "80"
"249" "Scaffold_326" "3000001" "4e+06" "36"
"250" "Scaffold_326" "4000001" "5e+06" "38"
"251" "Scaffold_326" "5000001" "6e+06" "26"
"252" "Scaffold_326" "6000001" "7e+06" "10"
"253" "Scaffold_326" "7000001" "8e+06" "14"
"254" "Scaffold_326" "8000001" "9e+06" "10"
"255" "Scaffold_326" "9000001" "1e+07" "9"
"256" "Scaffold_326" "10000001" "1.1e+07" "12"
"257" "Scaffold_326" "11000001" "1.2e+07" "4"
"258" "Scaffold_326" "12000001" "1.3e+07" "4"
"259" "Scaffold_326" "13000001" "1.4e+07" "5"
"260" "Scaffold_326" "14000001" "1.5e+07" "7"
"261" "Scaffold_326" "15000001" "1.6e+07" "8"
"262" "Scaffold_326" "16000001" "1.7e+07" "4"
"263" "Scaffold_326" "17000001" "1.8e+07" "17"
"264" "Scaffold_326" "18000001" "1.9e+07" "12"
"265" "Scaffold_326" "19000001" "2e+07" "4"
"266" "Scaffold_326" "20000001" "2.1e+07" "12"
"267" "Scaffold_326" "21000001" "2.2e+07" "23"
"268" "Scaffold_326" "22000001" "2.3e+07" "23"
"269" "Scaffold_326" "23000001" "2.4e+07" "28"
