"chrom" "V2" "V3" "counts"
"41" "Scaffold_8399" "40000001" "4.1e+07" "10"
"42" "Scaffold_8399" "41000001" "4.2e+07" "3"
"43" "Scaffold_8399" "42000001" "4.3e+07" "10"
"44" "Scaffold_8399" "43000001" "4.4e+07" "11"
"45" "Scaffold_8399" "44000001" "4.5e+07" "11"
"46" "Scaffold_8399" "45000001" "4.6e+07" "4"
"47" "Scaffold_8399" "46000001" "4.7e+07" "10"
"48" "Scaffold_8399" "47000001" "4.8e+07" "17"
"49" "Scaffold_8399" "48000001" "4.9e+07" "18"
"50" "Scaffold_8399" "49000001" "5e+07" "19"
"51" "Scaffold_8399" "50000001" "5.1e+07" "31"
"52" "Scaffold_8399" "51000001" "5.2e+07" "9"
"53" "Scaffold_8399" "52000001" "5.3e+07" "43"
"54" "Scaffold_8399" "53000001" "5.4e+07" "67"
"55" "Scaffold_8399" "54000001" "5.5e+07" "91"
"56" "Scaffold_8399" "55000001" "5.6e+07" "92"
"57" "Scaffold_8399" "56000001" "5.7e+07" "102"
"58" "Scaffold_8399" "57000001" "5.8e+07" "106"
"59" "Scaffold_8399" "58000001" "5.9e+07" "98"
"60" "Scaffold_8399" "59000001" "6e+07" "111"
"61" "Scaffold_8399" "60000001" "6.1e+07" "31"
"62" "Scaffold_10370" "1" "1e+06" "115"
"63" "Scaffold_10370" "1000001" "2e+06" "126"
"64" "Scaffold_10370" "2000001" "3e+06" "107"
"65" "Scaffold_10370" "3000001" "4e+06" "93"
"66" "Scaffold_10370" "4000001" "5e+06" "57"
"67" "Scaffold_10370" "5000001" "6e+06" "46"
"68" "Scaffold_10370" "6000001" "7e+06" "30"
"69" "Scaffold_10370" "7000001" "8e+06" "32"
"70" "Scaffold_10370" "8000001" "9e+06" "17"
"71" "Scaffold_10370" "9000001" "1e+07" "12"
"72" "Scaffold_10370" "10000001" "1.1e+07" "17"
"73" "Scaffold_10370" "11000001" "1.2e+07" "15"
"74" "Scaffold_10370" "12000001" "1.3e+07" "17"
"75" "Scaffold_10370" "13000001" "1.4e+07" "24"
"76" "Scaffold_10370" "14000001" "1.5e+07" "11"
