"chrom" "V2" "V3" "V4"
"100" "Scaffold_10370" "38000001" "3.9e+07" "2.0855"
"101" "Scaffold_10370" "39000001" "4e+07" "1.842"
"102" "Scaffold_10370" "40000001" "4.1e+07" "2.8732"
"103" "Scaffold_10370" "41000001" "4.2e+07" "3.0438"
"104" "Scaffold_10370" "42000001" "4.3e+07" "0.4625"
"105" "Scaffold_10370" "43000001" "4.4e+07" "0.7234"
"106" "Scaffold_10370" "44000001" "4.5e+07" "0.7371"
"107" "Scaffold_10370" "45000001" "4.6e+07" "0.2956"
"108" "Scaffold_10370" "46000001" "4.7e+07" "3.9945"
"109" "Scaffold_10370" "47000001" "4.8e+07" "8.0715"
"110" "Scaffold_10370" "48000001" "4.9e+07" "1.0907"
"111" "Scaffold_10370" "49000001" "5e+07" "3.9067"
"112" "Scaffold_10370" "50000001" "5.1e+07" "16.9379"
"113" "Scaffold_10370" "51000001" "5.2e+07" "15.8681"
"114" "Scaffold_10370" "52000001" "5.3e+07" "10.9722"
"115" "Scaffold_10370" "53000001" "5.4e+07" "24.2647"
"116" "Scaffold_10370" "54000001" "5.5e+07" "28.6168"
"117" "Scaffold_10370" "55000001" "5.6e+07" "38.4134"
"118" "Scaffold_10370" "56000001" "5.7e+07" "49.2606"
"119" "Scaffold_10370" "57000001" "5.8e+07" "5.0714"
"120" "Scaffold_247" "1" "1e+06" "34.7239"
"121" "Scaffold_247" "1000001" "2e+06" "32.1079"
"122" "Scaffold_247" "2000001" "3e+06" "31.6884"
"123" "Scaffold_247" "3000001" "4e+06" "11.8009"
"124" "Scaffold_247" "4000001" "5e+06" "14.1911"
"125" "Scaffold_247" "5000001" "6e+06" "2.6663"
"126" "Scaffold_247" "6000001" "7e+06" "1.8664"
"127" "Scaffold_247" "7000001" "8e+06" "1.0992"
"128" "Scaffold_247" "8000001" "9e+06" "2.8568"
"129" "Scaffold_247" "9000001" "1e+07" "0.6204"
"130" "Scaffold_247" "10000001" "1.1e+07" "0.9093"
"131" "Scaffold_247" "11000001" "1.2e+07" "12.7905"
"132" "Scaffold_247" "12000001" "1.3e+07" "14.7446"
"133" "Scaffold_247" "13000001" "1.4e+07" "8.9293"
"134" "Scaffold_247" "14000001" "1.5e+07" "2.8224"
"135" "Scaffold_247" "15000001" "1.6e+07" "2.6314"
"136" "Scaffold_247" "16000001" "1.7e+07" "4.3543"
"137" "Scaffold_247" "17000001" "1.8e+07" "4.2841"
"138" "Scaffold_247" "18000001" "1.9e+07" "5.2513"
"139" "Scaffold_247" "19000001" "2e+07" "0.7926"
"140" "Scaffold_247" "20000001" "2.1e+07" "4.6355"
"141" "Scaffold_247" "21000001" "2.2e+07" "1.244"
"142" "Scaffold_247" "22000001" "2.3e+07" "4.7512"
"143" "Scaffold_247" "23000001" "2.4e+07" "1.4406"
"144" "Scaffold_247" "24000001" "2.5e+07" "3.198"
"145" "Scaffold_247" "25000001" "2.6e+07" "4.3619"
"146" "Scaffold_247" "26000001" "2.7e+07" "0.6839"
"147" "Scaffold_247" "27000001" "2.8e+07" "0.0175"
"148" "Scaffold_247" "28000001" "2.9e+07" "1.1702"
"149" "Scaffold_247" "29000001" "3e+07" "1.1825"
"150" "Scaffold_247" "30000001" "3.1e+07" "2.3779"
"151" "Scaffold_247" "31000001" "3.2e+07" "2.7408"
"152" "Scaffold_247" "32000001" "3.3e+07" "0.9376"
"153" "Scaffold_247" "33000001" "3.4e+07" "3.2013"
"154" "Scaffold_247" "34000001" "3.5e+07" "0.0476"
"155" "Scaffold_247" "35000001" "3.6e+07" "0.0982"
"156" "Scaffold_247" "36000001" "3.7e+07" "0"
"157" "Scaffold_247" "37000001" "3.8e+07" "1.4472"
"158" "Scaffold_247" "38000001" "3.9e+07" "6.227"
"159" "Scaffold_247" "39000001" "4e+07" "2.2831"
"160" "Scaffold_247" "40000001" "4.1e+07" "2.228"
"161" "Scaffold_247" "41000001" "4.2e+07" "1.738"
"162" "Scaffold_247" "42000001" "4.3e+07" "0.095"
"163" "Scaffold_247" "43000001" "4.4e+07" "0"
"164" "Scaffold_247" "44000001" "4.5e+07" "0.0295"
"165" "Scaffold_247" "45000001" "4.6e+07" "0.0338"
"166" "Scaffold_247" "46000001" "4.7e+07" "3.8692"
"167" "Scaffold_247" "47000001" "4.8e+07" "9.815"
"168" "Scaffold_247" "48000001" "4.9e+07" "6.5301"
"169" "Scaffold_247" "49000001" "5e+07" "12.1453"
"170" "Scaffold_247" "50000001" "5.1e+07" "21.3058"
"171" "Scaffold_247" "51000001" "5.2e+07" "29.851"
"172" "Scaffold_247" "52000001" "5.3e+07" "41.187"
"173" "Scaffold_247" "53000001" "5.4e+07" "43.084"
"174" "Scaffold_247" "54000001" "5.5e+07" "31.3947"
"175" "Scaffold_247" "55000001" "5.6e+07" "13.5576"
"176" "Scaffold_4655" "1" "1e+06" "45.6754"
"177" "Scaffold_4655" "1000001" "2e+06" "42.9842"
"178" "Scaffold_4655" "2000001" "3e+06" "45.5283"
"179" "Scaffold_4655" "3000001" "4e+06" "44.1716"
"180" "Scaffold_4655" "4000001" "5e+06" "22.2476"
"181" "Scaffold_4655" "5000001" "6e+06" "8.4206"
"182" "Scaffold_4655" "6000001" "7e+06" "7.0048"
"183" "Scaffold_4655" "7000001" "8e+06" "11.6067"
"184" "Scaffold_4655" "8000001" "9e+06" "4.25"
"185" "Scaffold_4655" "9000001" "1e+07" "0.2514"
"186" "Scaffold_4655" "10000001" "1.1e+07" "0.0693"
"187" "Scaffold_4655" "11000001" "1.2e+07" "0.3766"
"188" "Scaffold_4655" "12000001" "1.3e+07" "1.3889"
"189" "Scaffold_4655" "13000001" "1.4e+07" "0.6024"
"190" "Scaffold_4655" "14000001" "1.5e+07" "0.0814"
"191" "Scaffold_4655" "15000001" "1.6e+07" "3.6515"
"192" "Scaffold_4655" "16000001" "1.7e+07" "3.0454"
"193" "Scaffold_4655" "17000001" "1.8e+07" "0.0387"
"194" "Scaffold_4655" "18000001" "1.9e+07" "0.1598"
"195" "Scaffold_4655" "19000001" "2e+07" "3.7525"
"196" "Scaffold_4655" "20000001" "2.1e+07" "0.8731"
"197" "Scaffold_4655" "21000001" "2.2e+07" "1.5801"
"198" "Scaffold_4655" "22000001" "2.3e+07" "3.7801"
"199" "Scaffold_4655" "23000001" "2.4e+07" "0.4624"
"200" "Scaffold_4655" "24000001" "2.5e+07" "0"
"201" "Scaffold_4655" "25000001" "2.6e+07" "4.1926"
"202" "Scaffold_4655" "26000001" "2.7e+07" "5.4125"
"203" "Scaffold_4655" "27000001" "2.8e+07" "2.6638"
"204" "Scaffold_4655" "28000001" "2.9e+07" "4.2661"
"205" "Scaffold_4655" "29000001" "3e+07" "3.1276"
"206" "Scaffold_4655" "30000001" "3.1e+07" "0.1082"
"207" "Scaffold_4655" "31000001" "3.2e+07" "4.2981"
"208" "Scaffold_4655" "32000001" "3.3e+07" "8.3038"
"209" "Scaffold_4655" "33000001" "3.4e+07" "1.903"
"210" "Scaffold_4655" "34000001" "3.5e+07" "0.0341"
"211" "Scaffold_4655" "35000001" "3.6e+07" "4.8462"
"212" "Scaffold_4655" "36000001" "3.7e+07" "7.0348"
"213" "Scaffold_4655" "37000001" "3.8e+07" "8.9193"
"214" "Scaffold_4655" "38000001" "3.9e+07" "4.7012"
"215" "Scaffold_4655" "39000001" "4e+07" "6.0098"
"216" "Scaffold_4655" "40000001" "4.1e+07" "0.3532"
"217" "Scaffold_4655" "41000001" "4.2e+07" "0"
"218" "Scaffold_4655" "42000001" "4.3e+07" "0.9149"
"219" "Scaffold_4655" "43000001" "4.4e+07" "0"
"220" "Scaffold_4655" "44000001" "4.5e+07" "0.1898"
"221" "Scaffold_4655" "45000001" "4.6e+07" "0.8583"
"222" "Scaffold_4655" "46000001" "4.7e+07" "0.4116"
"223" "Scaffold_4655" "47000001" "4.8e+07" "2.368"
"224" "Scaffold_4655" "48000001" "4.9e+07" "5.9708"
"225" "Scaffold_4655" "49000001" "5e+07" "3.0543"
"226" "Scaffold_4655" "50000001" "5.1e+07" "4.5168"
"227" "Scaffold_4655" "51000001" "5.2e+07" "3.7444"
"228" "Scaffold_4655" "52000001" "5.3e+07" "13.0201"
"229" "Scaffold_4655" "53000001" "5.4e+07" "18.4904"
"230" "Scaffold_4655" "54000001" "5.5e+07" "24.6122"
"231" "Scaffold_4655" "55000001" "5.6e+07" "11.5666"
"232" "Scaffold_10302" "1" "1e+06" "39.5951"
"233" "Scaffold_10302" "1000001" "2e+06" "41.9904"
"234" "Scaffold_10302" "2000001" "3e+06" "24.2382"
"235" "Scaffold_10302" "3000001" "4e+06" "27.0427"
"236" "Scaffold_10302" "4000001" "5e+06" "22.5658"
"237" "Scaffold_10302" "5000001" "6e+06" "20.7065"
"238" "Scaffold_10302" "6000001" "7e+06" "9.0911"
"239" "Scaffold_10302" "7000001" "8e+06" "3.1712"
"240" "Scaffold_10302" "8000001" "9e+06" "0.7548"
"241" "Scaffold_10302" "9000001" "1e+07" "0.9322"
"242" "Scaffold_10302" "10000001" "1.1e+07" "3.0326"
"243" "Scaffold_10302" "11000001" "1.2e+07" "2.7713"
"244" "Scaffold_10302" "12000001" "1.3e+07" "5.3173"
"245" "Scaffold_10302" "13000001" "1.4e+07" "3.2853"
"246" "Scaffold_10302" "14000001" "1.5e+07" "0.06"
"247" "Scaffold_10302" "15000001" "1.6e+07" "8.1522"
"248" "Scaffold_10302" "16000001" "1.7e+07" "4.5943"
"249" "Scaffold_10302" "17000001" "1.8e+07" "0.8997"
"250" "Scaffold_10302" "18000001" "1.9e+07" "1.1691"
"251" "Scaffold_10302" "19000001" "2e+07" "0.8039"
"252" "Scaffold_10302" "20000001" "2.1e+07" "4.1493"
"253" "Scaffold_10302" "21000001" "2.2e+07" "0.0681"
"254" "Scaffold_10302" "22000001" "2.3e+07" "7.7436"
"255" "Scaffold_10302" "23000001" "2.4e+07" "0"
"256" "Scaffold_10302" "24000001" "2.5e+07" "0.0235"
"257" "Scaffold_10302" "25000001" "2.6e+07" "0.3091"
"258" "Scaffold_10302" "26000001" "2.7e+07" "0.406"
"259" "Scaffold_10302" "27000001" "2.8e+07" "1.1595"
"260" "Scaffold_10302" "28000001" "2.9e+07" "0.7765"
"261" "Scaffold_10302" "29000001" "3e+07" "0.2943"
"262" "Scaffold_10302" "30000001" "3.1e+07" "3.3557"
"263" "Scaffold_10302" "31000001" "3.2e+07" "0.5346"
"264" "Scaffold_10302" "32000001" "3.3e+07" "6.2615"
"265" "Scaffold_10302" "33000001" "3.4e+07" "0.9179"
"266" "Scaffold_10302" "34000001" "3.5e+07" "6.8109"
"267" "Scaffold_10302" "35000001" "3.6e+07" "6.5169"
"268" "Scaffold_10302" "36000001" "3.7e+07" "0.0258"
"269" "Scaffold_10302" "37000001" "3.8e+07" "0.3583"
"270" "Scaffold_10302" "38000001" "3.9e+07" "5.6671"
"271" "Scaffold_10302" "39000001" "4e+07" "7.0186"
"272" "Scaffold_10302" "40000001" "4.1e+07" "1.5265"
"273" "Scaffold_10302" "41000001" "4.2e+07" "4.9964"
"274" "Scaffold_10302" "42000001" "4.3e+07" "2.0229"
"275" "Scaffold_10302" "43000001" "4.4e+07" "0.0245"
"276" "Scaffold_10302" "44000001" "4.5e+07" "0.6325"
"277" "Scaffold_10302" "45000001" "4.6e+07" "0"
"278" "Scaffold_10302" "46000001" "4.7e+07" "2.9955"
"279" "Scaffold_10302" "47000001" "4.8e+07" "2.2866"
"280" "Scaffold_10302" "48000001" "4.9e+07" "1.3297"
"281" "Scaffold_10302" "49000001" "5e+07" "5.7053"
"282" "Scaffold_10302" "50000001" "5.1e+07" "0.6707"
"283" "Scaffold_10302" "51000001" "5.2e+07" "9.7743"
"284" "Scaffold_10302" "52000001" "5.3e+07" "19.5053"
"285" "Scaffold_10302" "53000001" "5.4e+07" "32.8249"
"286" "Scaffold_10302" "54000001" "5.5e+07" "20.3389"
"287" "Scaffold_10429" "1" "1e+06" "44.272"
"288" "Scaffold_10429" "1000001" "2e+06" "42.7737"
"289" "Scaffold_10429" "2000001" "3e+06" "45.0133"
"290" "Scaffold_10429" "3000001" "4e+06" "33.0397"
"291" "Scaffold_10429" "4000001" "5e+06" "39.7023"
"292" "Scaffold_10429" "5000001" "6e+06" "17.8953"
"293" "Scaffold_10429" "6000001" "7e+06" "10.7647"
"294" "Scaffold_10429" "7000001" "8e+06" "14.1722"
"295" "Scaffold_10429" "8000001" "9e+06" "3.4741"
"296" "Scaffold_10429" "9000001" "1e+07" "5.5163"
"297" "Scaffold_10429" "10000001" "1.1e+07" "0.5071"
"298" "Scaffold_10429" "11000001" "1.2e+07" "5.773"
"299" "Scaffold_10429" "12000001" "1.3e+07" "1.0318"
"300" "Scaffold_10429" "13000001" "1.4e+07" "1.9598"
"301" "Scaffold_10429" "14000001" "1.5e+07" "2.6697"
"302" "Scaffold_10429" "15000001" "1.6e+07" "1.7914"
"303" "Scaffold_10429" "16000001" "1.7e+07" "7.9428"
"304" "Scaffold_10429" "17000001" "1.8e+07" "0.0935"
"305" "Scaffold_10429" "18000001" "1.9e+07" "7.4814"
"306" "Scaffold_10429" "19000001" "2e+07" "0.8086"
"307" "Scaffold_10429" "20000001" "2.1e+07" "12.6168"
"308" "Scaffold_10429" "21000001" "2.2e+07" "3.303"
"309" "Scaffold_10429" "22000001" "2.3e+07" "0"
"310" "Scaffold_10429" "23000001" "2.4e+07" "1.7222"
"311" "Scaffold_10429" "24000001" "2.5e+07" "2.221"
"312" "Scaffold_10429" "25000001" "2.6e+07" "11.0206"
"313" "Scaffold_10429" "26000001" "2.7e+07" "0.4019"
"314" "Scaffold_10429" "27000001" "2.8e+07" "0"
"315" "Scaffold_10429" "28000001" "2.9e+07" "0"
"316" "Scaffold_10429" "29000001" "3e+07" "1.5123"
"317" "Scaffold_10429" "30000001" "3.1e+07" "0.1882"
"318" "Scaffold_10429" "31000001" "3.2e+07" "1.601"
"319" "Scaffold_10429" "32000001" "3.3e+07" "1.2413"
"320" "Scaffold_10429" "33000001" "3.4e+07" "0.2411"
"321" "Scaffold_10429" "34000001" "3.5e+07" "0"
"322" "Scaffold_10429" "35000001" "3.6e+07" "0.0185"
"323" "Scaffold_10429" "36000001" "3.7e+07" "0.1364"
"324" "Scaffold_10429" "37000001" "3.8e+07" "0.0149"
"325" "Scaffold_10429" "38000001" "3.9e+07" "1.57"
"326" "Scaffold_10429" "39000001" "4e+07" "0.7121"
"327" "Scaffold_10429" "40000001" "4.1e+07" "1.2392"
"328" "Scaffold_10429" "41000001" "4.2e+07" "0.7283"
