"chrom" "V2" "V3" "counts"
"109" "Scaffold_10370" "47000001" "4.8e+07" "9"
"110" "Scaffold_10370" "48000001" "4.9e+07" "5"
"111" "Scaffold_10370" "49000001" "5e+07" "12"
"112" "Scaffold_10370" "50000001" "5.1e+07" "33"
"113" "Scaffold_10370" "51000001" "5.2e+07" "40"
"114" "Scaffold_10370" "52000001" "5.3e+07" "34"
"115" "Scaffold_10370" "53000001" "5.4e+07" "43"
"116" "Scaffold_10370" "54000001" "5.5e+07" "55"
"117" "Scaffold_10370" "55000001" "5.6e+07" "89"
"118" "Scaffold_10370" "56000001" "5.7e+07" "122"
"119" "Scaffold_10370" "57000001" "5.8e+07" "9"
"120" "Scaffold_247" "1" "1e+06" "73"
"121" "Scaffold_247" "1000001" "2e+06" "65"
"122" "Scaffold_247" "2000001" "3e+06" "50"
"123" "Scaffold_247" "3000001" "4e+06" "26"
"124" "Scaffold_247" "4000001" "5e+06" "21"
"125" "Scaffold_247" "5000001" "6e+06" "7"
"126" "Scaffold_247" "6000001" "7e+06" "7"
"127" "Scaffold_247" "7000001" "8e+06" "5"
"128" "Scaffold_247" "8000001" "9e+06" "5"
"129" "Scaffold_247" "9000001" "1e+07" "4"
"130" "Scaffold_247" "10000001" "1.1e+07" "4"
"131" "Scaffold_247" "11000001" "1.2e+07" "10"
"132" "Scaffold_247" "12000001" "1.3e+07" "16"
"133" "Scaffold_247" "13000001" "1.4e+07" "7"
"134" "Scaffold_247" "14000001" "1.5e+07" "7"
"135" "Scaffold_247" "15000001" "1.6e+07" "6"
"136" "Scaffold_247" "16000001" "1.7e+07" "8"
"137" "Scaffold_247" "17000001" "1.8e+07" "15"
"138" "Scaffold_247" "18000001" "1.9e+07" "7"
"139" "Scaffold_247" "19000001" "2e+07" "1"
"140" "Scaffold_247" "20000001" "2.1e+07" "13"
"141" "Scaffold_247" "21000001" "2.2e+07" "6"
"142" "Scaffold_247" "22000001" "2.3e+07" "4"
"143" "Scaffold_247" "23000001" "2.4e+07" "3"
"144" "Scaffold_247" "24000001" "2.5e+07" "5"
"145" "Scaffold_247" "25000001" "2.6e+07" "6"
"146" "Scaffold_247" "26000001" "2.7e+07" "2"
"147" "Scaffold_247" "27000001" "2.8e+07" "1"
"148" "Scaffold_247" "28000001" "2.9e+07" "1"
"149" "Scaffold_247" "29000001" "3e+07" "3"
"150" "Scaffold_247" "30000001" "3.1e+07" "4"
"151" "Scaffold_247" "31000001" "3.2e+07" "8"
"152" "Scaffold_247" "32000001" "3.3e+07" "2"
"153" "Scaffold_247" "33000001" "3.4e+07" "6"
"154" "Scaffold_247" "34000001" "3.5e+07" "1"
"155" "Scaffold_247" "35000001" "3.6e+07" "2"
"156" "Scaffold_247" "36000001" "3.7e+07" "0"
"157" "Scaffold_247" "37000001" "3.8e+07" "4"
"158" "Scaffold_247" "38000001" "3.9e+07" "13"
"159" "Scaffold_247" "39000001" "4e+07" "3"
"160" "Scaffold_247" "40000001" "4.1e+07" "3"
"161" "Scaffold_247" "41000001" "4.2e+07" "5"
"162" "Scaffold_247" "42000001" "4.3e+07" "1"
"163" "Scaffold_247" "43000001" "4.4e+07" "0"
"164" "Scaffold_247" "44000001" "4.5e+07" "1"
"165" "Scaffold_247" "45000001" "4.6e+07" "1"
"166" "Scaffold_247" "46000001" "4.7e+07" "5"
"167" "Scaffold_247" "47000001" "4.8e+07" "15"
"168" "Scaffold_247" "48000001" "4.9e+07" "12"
"169" "Scaffold_247" "49000001" "5e+07" "26"
"170" "Scaffold_247" "50000001" "5.1e+07" "29"
"171" "Scaffold_247" "51000001" "5.2e+07" "42"
"172" "Scaffold_247" "52000001" "5.3e+07" "81"
"173" "Scaffold_247" "53000001" "5.4e+07" "94"
"174" "Scaffold_247" "54000001" "5.5e+07" "58"
"175" "Scaffold_247" "55000001" "5.6e+07" "28"
"176" "Scaffold_4655" "1" "1e+06" "115"
"177" "Scaffold_4655" "1000001" "2e+06" "114"
"178" "Scaffold_4655" "2000001" "3e+06" "98"
"179" "Scaffold_4655" "3000001" "4e+06" "100"
"180" "Scaffold_4655" "4000001" "5e+06" "46"
"181" "Scaffold_4655" "5000001" "6e+06" "15"
"182" "Scaffold_4655" "6000001" "7e+06" "21"
"183" "Scaffold_4655" "7000001" "8e+06" "11"
"184" "Scaffold_4655" "8000001" "9e+06" "9"
"185" "Scaffold_4655" "9000001" "1e+07" "2"
"186" "Scaffold_4655" "10000001" "1.1e+07" "2"
"187" "Scaffold_4655" "11000001" "1.2e+07" "2"
"188" "Scaffold_4655" "12000001" "1.3e+07" "1"
"189" "Scaffold_4655" "13000001" "1.4e+07" "1"
"190" "Scaffold_4655" "14000001" "1.5e+07" "2"
"191" "Scaffold_4655" "15000001" "1.6e+07" "1"
"192" "Scaffold_4655" "16000001" "1.7e+07" "4"
"193" "Scaffold_4655" "17000001" "1.8e+07" "1"
"194" "Scaffold_4655" "18000001" "1.9e+07" "1"
"195" "Scaffold_4655" "19000001" "2e+07" "6"
"196" "Scaffold_4655" "20000001" "2.1e+07" "1"
"197" "Scaffold_4655" "21000001" "2.2e+07" "3"
"198" "Scaffold_4655" "22000001" "2.3e+07" "7"
"199" "Scaffold_4655" "23000001" "2.4e+07" "2"
"200" "Scaffold_4655" "24000001" "2.5e+07" "0"
"201" "Scaffold_4655" "25000001" "2.6e+07" "1"
"202" "Scaffold_4655" "26000001" "2.7e+07" "8"
"203" "Scaffold_4655" "27000001" "2.8e+07" "4"
"204" "Scaffold_4655" "28000001" "2.9e+07" "3"
"205" "Scaffold_4655" "29000001" "3e+07" "7"
"206" "Scaffold_4655" "30000001" "3.1e+07" "1"
"207" "Scaffold_4655" "31000001" "3.2e+07" "6"
"208" "Scaffold_4655" "32000001" "3.3e+07" "9"
"209" "Scaffold_4655" "33000001" "3.4e+07" "1"
"210" "Scaffold_4655" "34000001" "3.5e+07" "1"
"211" "Scaffold_4655" "35000001" "3.6e+07" "5"
"212" "Scaffold_4655" "36000001" "3.7e+07" "8"
"213" "Scaffold_4655" "37000001" "3.8e+07" "7"
"214" "Scaffold_4655" "38000001" "3.9e+07" "4"
"215" "Scaffold_4655" "39000001" "4e+07" "6"
"216" "Scaffold_4655" "40000001" "4.1e+07" "2"
"217" "Scaffold_4655" "41000001" "4.2e+07" "0"
"218" "Scaffold_4655" "42000001" "4.3e+07" "3"
"219" "Scaffold_4655" "43000001" "4.4e+07" "0"
"220" "Scaffold_4655" "44000001" "4.5e+07" "1"
"221" "Scaffold_4655" "45000001" "4.6e+07" "2"
"222" "Scaffold_4655" "46000001" "4.7e+07" "1"
"223" "Scaffold_4655" "47000001" "4.8e+07" "5"
"224" "Scaffold_4655" "48000001" "4.9e+07" "10"
"225" "Scaffold_4655" "49000001" "5e+07" "8"
"226" "Scaffold_4655" "50000001" "5.1e+07" "10"
"227" "Scaffold_4655" "51000001" "5.2e+07" "14"
"228" "Scaffold_4655" "52000001" "5.3e+07" "18"
"229" "Scaffold_4655" "53000001" "5.4e+07" "28"
"230" "Scaffold_4655" "54000001" "5.5e+07" "59"
"231" "Scaffold_4655" "55000001" "5.6e+07" "35"
"232" "Scaffold_10302" "1" "1e+06" "82"
"233" "Scaffold_10302" "1000001" "2e+06" "93"
"234" "Scaffold_10302" "2000001" "3e+06" "66"
"235" "Scaffold_10302" "3000001" "4e+06" "67"
"236" "Scaffold_10302" "4000001" "5e+06" "43"
"237" "Scaffold_10302" "5000001" "6e+06" "30"
"238" "Scaffold_10302" "6000001" "7e+06" "20"
"239" "Scaffold_10302" "7000001" "8e+06" "9"
"240" "Scaffold_10302" "8000001" "9e+06" "4"
"241" "Scaffold_10302" "9000001" "1e+07" "3"
"242" "Scaffold_10302" "10000001" "1.1e+07" "2"
"243" "Scaffold_10302" "11000001" "1.2e+07" "7"
"244" "Scaffold_10302" "12000001" "1.3e+07" "8"
"245" "Scaffold_10302" "13000001" "1.4e+07" "8"
"246" "Scaffold_10302" "14000001" "1.5e+07" "2"
"247" "Scaffold_10302" "15000001" "1.6e+07" "3"
"248" "Scaffold_10302" "16000001" "1.7e+07" "5"
"249" "Scaffold_10302" "17000001" "1.8e+07" "1"
"250" "Scaffold_10302" "18000001" "1.9e+07" "4"
"251" "Scaffold_10302" "19000001" "2e+07" "2"
"252" "Scaffold_10302" "20000001" "2.1e+07" "3"
"253" "Scaffold_10302" "21000001" "2.2e+07" "2"
"254" "Scaffold_10302" "22000001" "2.3e+07" "4"
"255" "Scaffold_10302" "23000001" "2.4e+07" "0"
"256" "Scaffold_10302" "24000001" "2.5e+07" "1"
"257" "Scaffold_10302" "25000001" "2.6e+07" "4"
"258" "Scaffold_10302" "26000001" "2.7e+07" "1"
"259" "Scaffold_10302" "27000001" "2.8e+07" "2"
"260" "Scaffold_10302" "28000001" "2.9e+07" "5"
"261" "Scaffold_10302" "29000001" "3e+07" "3"
"262" "Scaffold_10302" "30000001" "3.1e+07" "2"
"263" "Scaffold_10302" "31000001" "3.2e+07" "3"
"264" "Scaffold_10302" "32000001" "3.3e+07" "4"
"265" "Scaffold_10302" "33000001" "3.4e+07" "1"
"266" "Scaffold_10302" "34000001" "3.5e+07" "6"
"267" "Scaffold_10302" "35000001" "3.6e+07" "31"
"268" "Scaffold_10302" "36000001" "3.7e+07" "1"
"269" "Scaffold_10302" "37000001" "3.8e+07" "2"
"270" "Scaffold_10302" "38000001" "3.9e+07" "4"
"271" "Scaffold_10302" "39000001" "4e+07" "3"
"272" "Scaffold_10302" "40000001" "4.1e+07" "3"
"273" "Scaffold_10302" "41000001" "4.2e+07" "9"
"274" "Scaffold_10302" "42000001" "4.3e+07" "3"
"275" "Scaffold_10302" "43000001" "4.4e+07" "1"
"276" "Scaffold_10302" "44000001" "4.5e+07" "1"
"277" "Scaffold_10302" "45000001" "4.6e+07" "0"
"278" "Scaffold_10302" "46000001" "4.7e+07" "3"
"279" "Scaffold_10302" "47000001" "4.8e+07" "3"
"280" "Scaffold_10302" "48000001" "4.9e+07" "5"
"281" "Scaffold_10302" "49000001" "5e+07" "12"
"282" "Scaffold_10302" "50000001" "5.1e+07" "3"
"283" "Scaffold_10302" "51000001" "5.2e+07" "22"
"284" "Scaffold_10302" "52000001" "5.3e+07" "41"
"285" "Scaffold_10302" "53000001" "5.4e+07" "48"
"286" "Scaffold_10302" "54000001" "5.5e+07" "45"
"287" "Scaffold_10429" "1" "1e+06" "68"
"288" "Scaffold_10429" "1000001" "2e+06" "103"
"289" "Scaffold_10429" "2000001" "3e+06" "98"
"290" "Scaffold_10429" "3000001" "4e+06" "88"
"291" "Scaffold_10429" "4000001" "5e+06" "101"
"292" "Scaffold_10429" "5000001" "6e+06" "36"
"293" "Scaffold_10429" "6000001" "7e+06" "22"
"294" "Scaffold_10429" "7000001" "8e+06" "16"
"295" "Scaffold_10429" "8000001" "9e+06" "11"
"296" "Scaffold_10429" "9000001" "1e+07" "9"
"297" "Scaffold_10429" "10000001" "1.1e+07" "4"
"298" "Scaffold_10429" "11000001" "1.2e+07" "5"
"299" "Scaffold_10429" "12000001" "1.3e+07" "2"
"300" "Scaffold_10429" "13000001" "1.4e+07" "5"
"301" "Scaffold_10429" "14000001" "1.5e+07" "5"
"302" "Scaffold_10429" "15000001" "1.6e+07" "2"
"303" "Scaffold_10429" "16000001" "1.7e+07" "4"
"304" "Scaffold_10429" "17000001" "1.8e+07" "2"
"305" "Scaffold_10429" "18000001" "1.9e+07" "4"
"306" "Scaffold_10429" "19000001" "2e+07" "1"
"307" "Scaffold_10429" "20000001" "2.1e+07" "9"
"308" "Scaffold_10429" "21000001" "2.2e+07" "2"
"309" "Scaffold_10429" "22000001" "2.3e+07" "0"
"310" "Scaffold_10429" "23000001" "2.4e+07" "4"
"311" "Scaffold_10429" "24000001" "2.5e+07" "2"
"312" "Scaffold_10429" "25000001" "2.6e+07" "11"
"313" "Scaffold_10429" "26000001" "2.7e+07" "3"
"314" "Scaffold_10429" "27000001" "2.8e+07" "0"
"315" "Scaffold_10429" "28000001" "2.9e+07" "0"
"316" "Scaffold_10429" "29000001" "3e+07" "5"
"317" "Scaffold_10429" "30000001" "3.1e+07" "3"
"318" "Scaffold_10429" "31000001" "3.2e+07" "1"
"319" "Scaffold_10429" "32000001" "3.3e+07" "2"
"320" "Scaffold_10429" "33000001" "3.4e+07" "2"
